game_n,winner,turn_outcome
0,0,"(1, 0, 1, 1, 2, 1, 2, 1, 1, 1, 1, 0, 1, 1, 0, 1, 2, 0, 0, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 0, 2, 1, 0, 2, 2, 1, 0, 2, 2, 1)"
1,1,"(0, 0, 1, 1, 1, 2, 2, 0, 0, 0, 0, 1, 0, 1, 1, 2, 2, 1, 0, 1, 1, 0, 0, 1, 0, 2, 1, 1, 2, 0, 1, 1, 1, 1)"
2,,"(0, 1, 1, 1, 0, 2, 1, 0, 0, 0, 1, 1, 1, 2, 2, 0, 2, 2, 1, 2, 1, 2, 0, 2, 1, 1, 2, 2, 2, 0, 1, 0, 1, 0, 0, 1, 1, 1)"
3,1,"(1, 1, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 2, 1, 1, 1, 1, 1, 0, 0, 2, 0, 1, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 1)"
4,,"(1, 1, 0, 2, 1, 1, 0, 1, 1, 2, 0, 0, 1, 0, 1, 0, 1, 1, 2, 1, 2, 0, 2, 1, 0, 0, 0, 2, 1, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 1)"
5,1,"(1, 0, 1, 2, 2, 2, 1, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 2, 2, 1, 2, 2, 2, 0, 2, 1, 1, 2, 1, 0, 0, 1, 0, 0, 1, 0, 2, 1)"
6,4,"(0, 1, 2, 1, 1, 1, 2, 2, 2, 0, 2, 1, 2, 0, 2, 2, 0, 2, 2, 2, 1, 2, 2, 0, 1, 0, 1, 1, 1, 2, 1, 1, 2, 0, 2, 1, 0, 1, 0, 2, 2, 0, 0, 2, 1, 2, 2, 1)"
7,1,"(1, 1, 2, 1, 0, 0, 1, 1, 1, 0, 0, 2, 2, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 2, 1, 1, 0, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 1, 1)"
8,3,"(0, 1, 1, 1, 1, 1, 2, 1, 1, 0, 1, 0, 0, 1, 2, 0, 0, 1, 1, 0, 1, 0, 1, 1, 2, 2, 2, 2, 2, 1, 0, 0, 0, 0, 0, 2, 1)"
9,4,"(1, 1, 0, 1, 2, 0, 0, 1, 2, 0, 1, 2, 0, 1, 0, 2, 1, 2, 1, 1, 0, 1, 1, 2, 1, 0, 1, 1, 1, 1)"
10,2,"(1, 1, 1, 2, 2, 0, 1, 2, 0, 2, 2, 2, 1, 0, 1, 1, 0, 1, 0, 2, 2, 1, 2, 0, 1, 0, 2, 1, 1, 2, 1, 2, 1, 0, 1, 0, 1)"
11,3,"(1, 1, 1, 2, 0, 2, 1, 1, 1, 2, 2, 0, 1, 1, 2, 2, 2, 2, 1, 0, 0, 1, 0, 2, 1, 0, 0, 2, 2, 2, 0, 1, 0, 1, 2, 1, 1, 0, 1)"
12,4,"(0, 1, 1, 1, 1, 2, 2, 2, 2, 0, 1, 2, 2, 1, 1, 0, 2, 0, 1, 1, 1, 1, 0, 1, 2, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 2, 0, 2, 1, 2, 0, 1)"
