game_n,winner,turn_outcome
0,1,"(1, 1, 0, 1, 0, 2, 1, 1, 0, 1, 1, 1, 1, 1, 1, 2, 2, 1, 0, 2, 2, 1, 2, 0, 0, 2, 2, 2, 0, 0, 1, 2, 0, 0, 2, 0, 1, 2, 1)"
1,0,"(0, 1, 1, 1, 0, 1, 2, 0, 0, 2, 1, 0, 2, 1, 0, 1, 1, 1, 2, 1, 1, 2, 0, 1, 1, 0, 2, 1, 0, 2, 2, 1, 0, 1)"
2,2,"(1, 1, 1, 0, 2, 1, 0, 1, 1, 0, 1, 2, 0, 2, 1, 0, 1, 1, 0, 0, 2, 1, 0, 2, 2, 1, 1, 2, 2, 1, 1, 2, 2, 0, 2, 0, 0, 0, 1)"
3,3,"(1, 0, 1, 1, 1, 2, 1, 1, 2, 0, 1, 0, 1, 2, 0, 2, 0, 1, 2, 2, 0, 1, 0, 1, 2, 1, 0, 2, 2, 2, 1, 0, 2, 2, 0, 2, 0, 2, 1, 1, 0, 1)"
4,3,"(1, 1, 0, 0, 2, 2, 1, 2, 2, 1, 2, 2, 1, 1, 1, 0, 0, 1, 0, 1, 2, 1, 2, 0, 2, 2, 0, 1, 2, 2, 1, 0, 2, 2, 2, 0, 1, 0, 1, 2, 0, 1, 1)"
5,1,"(1, 0, 2, 1, 2, 0, 1, 0, 1, 0, 0, 2, 1, 1, 1, 2, 0, 1, 1, 2, 0, 2, 1, 0, 0, 2, 0, 2, 1, 0, 1, 2, 1, 1, 0, 0, 1, 2, 1)"
6,1,"(1, 1, 0, 2, 2, 1, 2, 1, 1, 1, 0, 2, 1, 2, 0, 2, 1, 1, 0, 0, 1, 1, 2, 0, 0, 1, 2, 0, 0, 1, 2, 2, 1, 1, 1)"
7,1,"(1, 2, 1, 2, 1, 0, 0, 1, 1, 2, 2, 1, 0, 2, 1, 1, 1, 0, 2, 2, 1, 0, 0, 2, 1, 2, 1, 1, 2, 2, 0, 0, 0, 2, 0, 2, 2, 1, 1, 1)"
8,5,"(1, 2, 0, 1, 2, 1, 0, 1, 1, 0, 1, 1, 2, 1, 0, 2, 1, 2, 0, 0, 1, 2, 1, 0, 0, 2, 1, 1, 2, 1, 1, 2, 0, 1)"
9,,"(1, 1, 1, 0, 2, 0, 1, 2, 1, 0, 2, 1, 0, 2, 1, 0, 1, 1, 2, 1, 1, 0, 2, 2, 2, 1, 2, 2, 1, 0, 2, 0, 0, 1, 0, 0, 1, 2, 2, 0, 0, 1)"
10,4,"(1, 1, 0, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 2, 0, 1, 2, 1, 0, 1, 2, 2, 1, 0, 1)"
11,0,"(0, 0, 1, 0, 1, 1, 2, 2, 2, 2, 2, 2, 0, 2, 0, 1, 0, 1, 1, 0, 0, 1, 2, 2, 0, 1, 2, 2, 2, 2, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 0, 1, 1, 2, 2, 0, 2, 0, 2, 0, 0, 0, 1, 2, 0, 2, 1, 0, 1, 2, 2, 0, 2, 0, 2, 1)"
12,5,"(1, 0, 0, 1, 1, 0, 1, 1, 2, 1, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 0, 2, 2, 0, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 1, 2, 2, 0, 2, 2, 0, 1, 0, 0, 2, 2, 0, 0, 1, 1)"
13,0,"(0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 2, 1, 0, 0, 2, 1, 0, 2, 0, 1, 2, 1, 0, 0, 1)"
14,2,"(0, 1, 2, 2, 1, 1, 2, 0, 2, 1, 0, 1, 1, 2, 1, 2, 1, 1, 0, 2, 1, 2, 0, 0, 1, 1, 0, 0, 1, 2, 0, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1)"
15,0,"(0, 1, 0, 0, 1, 0, 2, 1, 0, 2, 0, 0, 0, 2, 2, 1, 0, 0, 1, 0, 1, 0, 2, 2, 2, 2, 0, 2, 1, 1, 1, 0, 2, 1, 2, 0, 1, 2, 1, 2, 2, 2, 2, 2, 0, 1, 2, 0, 1, 0, 2, 1, 2, 0, 2, 2, 0, 0, 0, 1)"
16,4,"(0, 1, 0, 2, 0, 1, 2, 0, 1, 1, 2, 1, 0, 2, 1, 2, 2, 1, 1, 2, 1, 2, 1, 1, 0, 0, 0, 1, 1, 0, 1, 2, 1, 0, 2, 2, 2, 2, 0, 2, 2, 2, 0, 1)"
17,0,"(1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 2, 2, 0, 1, 2, 1, 2, 1, 0, 2, 0, 2, 0, 0, 0, 1, 0, 2, 2, 0, 0, 1, 2, 1)"
18,,"(1, 1, 2, 2, 0, 1, 0, 1, 2, 2, 2, 2, 0, 1, 0, 2, 2, 1, 2, 1, 2, 0, 2, 1, 1, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 0, 2, 2, 0, 2, 1, 2, 0, 0, 2, 2, 0, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 1)"
19,,"(1, 1, 0, 2, 1, 1, 2, 1, 0, 2, 0, 0, 2, 0, 1, 1, 0, 2, 0, 0, 1, 0, 1, 2, 1, 0, 0, 1, 0, 2, 2, 1, 0, 0, 1, 0, 2, 1, 2, 0, 0, 0, 0, 2, 1, 2, 1)"
20,3,"(0, 1, 0, 0, 2, 2, 2, 2, 1, 1, 0, 1, 1, 2, 2, 2, 2, 0, 0, 1, 1, 2, 0, 0, 0, 2, 1, 1, 0, 2, 0, 1, 0, 2, 2, 2, 0, 2, 2, 2, 2, 2, 0, 0, 0, 2, 2, 2, 0, 1, 1, 2, 2, 1, 2, 0, 0, 1, 0, 1, 1)"
21,1,"(1, 1, 2, 0, 0, 2, 1, 1, 1, 1, 2, 2, 0, 2, 2, 1, 2, 0, 2, 0, 2, 0, 1, 2, 2, 0, 2, 0, 0, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 0, 0, 2, 0, 2, 1, 1, 1, 2, 1, 2, 2, 0, 0, 2, 1, 1)"
22,4,"(0, 1, 2, 0, 0, 1, 1, 2, 2, 2, 0, 0, 1, 1, 0, 2, 1, 1, 0, 1, 1, 1, 2, 0, 1, 2, 2, 2, 1, 0, 1, 0, 2, 0, 1, 1, 0, 2, 0, 0, 1)"
23,2,"(1, 1, 0, 1, 0, 1, 1, 2, 2, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 2, 0, 2, 1, 2, 2, 2, 2, 0, 0, 1)"
24,0,"(1, 1, 1, 1, 1, 0, 1, 2, 2, 2, 0, 2, 0, 1, 2, 0, 2, 0, 2, 0, 2, 2, 1, 0, 1, 0, 0, 0, 1, 2, 2, 1, 2, 0, 1, 2, 1, 0, 2, 1, 2, 0, 0, 2, 1, 2, 0, 0, 1)"
25,0,"(1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 2, 2, 0, 0, 1, 1, 1, 2, 2, 0, 0, 1, 2, 1, 2, 0, 2, 2, 2, 2, 2, 0, 1, 2, 1)"
