game_n,winner,turn_outcome
0,,"(1, 1, 1, 1, 2, 1, 1, 0, 1, 1, 2, 1, 2, 0, 1, 2, 1, 1, 0, 1, 2, 2, 0, 1, 0, 1, 0, 1)"
1,1,"(0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 2, 0, 1, 2, 0, 1, 0, 1, 1, 1)"
2,1,"(1, 0, 0, 1, 1, 2, 0, 1, 0, 1, 1, 2, 1, 2, 0, 1, 1, 1, 0, 0, 1, 0, 2, 2, 1, 1, 0, 1, 2, 0, 1, 1)"
3,0,"(1, 1, 2, 1, 1, 1, 0, 0, 1, 0, 1, 2, 0, 0, 1, 0, 1, 1, 0, 1, 2, 1, 1, 2, 0, 0, 1, 1, 2, 2, 2, 2, 2, 1)"
4,0,"(1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 2, 1, 1, 1, 0, 1, 1, 1, 2, 0, 1)"
5,0,"(1, 1, 2, 1, 0, 1, 0, 0, 1, 1, 1, 1, 2, 0, 2, 0, 0, 0, 1, 2, 2, 1, 1, 0, 1, 1, 1, 1, 0, 2, 0, 2, 2, 1)"
6,0,"(0, 0, 0, 1, 0, 1, 2, 1, 2, 1, 1, 1, 1, 0, 2, 2, 0, 1, 0, 0, 1, 0, 2, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1)"
7,0,"(0, 0, 1, 1, 2, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1)"
8,1,"(1, 1, 1, 1, 1, 2, 1, 1, 0, 1, 0, 0, 0, 0, 2, 2, 2, 1, 1, 1, 1, 1, 0, 1, 1, 2, 0, 0, 0, 1)"
9,0,"(1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 2, 1, 1, 0, 1, 1, 0, 1, 1, 2, 0, 1, 1, 2, 1, 1, 2, 0, 1)"
10,0,"(1, 0, 1, 1, 0, 0, 1, 0, 1, 2, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 2, 1, 0, 0, 1, 2, 0, 1, 0, 1, 2, 1)"
11,0,"(1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 2, 1, 0, 1, 1, 1, 1, 2, 2, 0, 1, 1, 1, 0, 1)"
12,1,"(1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 2, 1, 1, 1, 2, 0, 0, 1)"
13,1,"(1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 2, 2, 1, 2, 1, 0, 1, 1, 1, 0, 1)"
14,0,"(0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 2, 0, 0, 2, 0, 1, 2, 2, 1, 1, 1, 0, 2, 0, 0, 1, 1, 1, 1, 0, 1)"
15,1,"(1, 1, 1, 1, 0, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 0, 0, 0, 1, 2, 2, 2, 1, 0, 1)"
16,0,"(1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 2, 1, 1, 2, 1, 2, 0, 1, 0, 1, 1, 1, 0, 1, 1)"
17,0,"(1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 2, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 2, 1)"
