game_n,winner,turn_outcome
23,3,"(1, 1, 0, 2, 1, 2, 1, 0, 0, 1, 0, 0, 1, 2, 0, 1, 0, 2, 0, 1, 0, 2, 0, 0, 2, 0, 1, 2, 2, 2, 2, 1, 1, 2, 0, 1, 1, 1, 2, 1, 0, 0, 0, 0, 0, 1)"
24,3,"(1, 1, 2, 1, 2, 2, 0, 0, 2, 1, 2, 1, 2, 0, 2, 2, 1, 2, 0, 2, 0, 1, 1, 1, 1, 1, 1, 2, 0, 2, 2, 2, 2, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1)"
25,4,"(1, 1, 2, 0, 0, 2, 1, 1, 1, 2, 1, 1, 2, 2, 1, 2, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 1, 0, 1, 2, 1, 2, 1, 0, 0, 2, 1)"
26,5,"(1, 1, 0, 2, 2, 1, 2, 0, 0, 2, 1, 1, 2, 0, 2, 2, 1, 1, 2, 2, 2, 0, 0, 2, 1, 1, 2, 1, 0, 1, 1, 2, 0, 1, 0, 2, 0, 0, 2, 1, 2, 2, 1, 0, 2, 2, 2, 2, 0, 2, 2, 0, 0, 0, 0, 1)"
27,2,"(0, 1, 1, 1, 2, 1, 0, 1, 0, 0, 1, 2, 1, 0, 2, 0, 0, 1, 2, 2, 2, 1, 1, 0, 0, 2, 0, 2, 0, 1, 0, 1, 2, 1, 0, 0, 2, 0, 2, 0, 2, 1, 2, 2, 2, 0, 0, 2, 2, 1, 2, 0, 0, 0, 1)"
28,1,"(1, 1, 1, 1, 2, 2, 1, 1, 2, 2, 2, 1, 2, 1, 2, 0, 1, 1, 0, 1, 2, 2, 2, 2, 0, 1, 1, 0, 2, 2, 2, 1, 2, 0, 0, 0, 1, 0, 0, 0, 1)"
29,5,"(1, 1, 2, 1, 0, 1, 0, 1, 0, 1, 1, 2, 2, 1, 0, 1, 0, 0, 1, 1, 0, 2, 0, 0, 0, 2, 0, 2, 2, 1, 1, 0, 0, 0, 0, 1, 2, 2, 0, 1, 2, 2, 0, 0, 2, 2, 2, 2, 0, 2, 2, 0, 0, 2, 0, 0, 1)"
30,3,"(0, 1, 1, 1, 1, 1, 2, 0, 2, 0, 1, 0, 0, 1, 0, 0, 0, 2, 1, 1, 0, 1, 2, 1, 0, 2, 2, 2, 1, 2, 0, 2, 1, 1, 2, 2, 0, 0, 1, 1)"
31,3,"(0, 1, 1, 1, 2, 1, 0, 2, 1, 2, 0, 0, 2, 1, 1, 2, 0, 2, 1, 0, 1, 1, 2, 0, 1, 0, 0, 1, 1, 2, 0, 2, 2, 2, 1, 0, 0, 2, 0, 2, 1, 1)"
32,2,"(1, 1, 1, 1, 0, 1, 2, 0, 1, 0, 2, 0, 0, 0, 1, 1, 1, 1, 2, 1, 2, 0, 2, 0, 1, 1, 2, 0, 1, 2, 0, 1, 0, 0, 0, 2, 0, 0, 1)"
33,5,"(1, 1, 0, 1, 2, 2, 2, 2, 0, 0, 0, 2, 1, 1, 2, 2, 2, 2, 2, 0, 2, 0, 1, 2, 0, 2, 1, 0, 2, 2, 0, 0, 1, 2, 1, 2, 1, 0, 2, 0, 0, 1, 0, 2, 1, 2, 1, 1, 0, 1, 2, 2, 2, 2, 0, 0, 2, 0, 1)"
34,1,"(1, 1, 0, 1, 2, 1, 2, 2, 2, 1, 1, 2, 2, 0, 0, 0, 1, 0, 1, 2, 0, 2, 2, 1, 0, 1, 2, 2, 0, 2, 2, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 0, 0, 0, 2, 1, 0, 0, 0, 2, 2, 1, 2, 0, 0, 1, 1)"
35,4,"(1, 1, 1, 1, 1, 2, 2, 1, 0, 0, 1, 0, 0, 2, 1, 0, 2, 2, 1, 0, 2, 1, 2, 0, 2, 1, 2, 2, 0, 2, 2, 1, 0, 2, 2, 2, 2, 1, 2, 0, 2, 2, 0, 2, 0, 0, 2, 0, 1, 2, 2, 2, 2, 0, 0, 0, 0, 0, 1, 1)"
36,0,"(1, 2, 1, 0, 0, 2, 2, 1, 0, 1, 2, 2, 1, 0, 2, 1, 0, 2, 0, 2, 2, 0, 0, 1, 1, 0, 2, 0, 0, 1, 1, 0, 1, 2, 2, 0, 2, 1, 0, 1, 1, 0, 1, 0, 0, 1)"
37,5,"(1, 1, 1, 2, 2, 2, 2, 1, 1, 0, 2, 1, 0, 0, 1, 2, 1, 0, 1, 1, 1, 0, 1, 2, 2, 0, 2, 0, 0, 2, 1, 2, 2, 1, 1, 2, 0, 0, 2, 1)"
38,3,"(1, 1, 1, 0, 2, 0, 1, 2, 0, 1, 2, 2, 2, 1, 2, 0, 2, 2, 2, 2, 1, 1, 2, 2, 0, 2, 1, 2, 1, 1, 0, 0, 1, 2, 2, 2, 2, 0, 0, 2, 1, 0, 1, 2, 1, 2, 0, 1)"
39,3,"(1, 1, 2, 1, 2, 2, 0, 1, 1, 1, 1, 2, 2, 2, 2, 0, 2, 2, 0, 1, 1, 1, 0, 0, 1, 2, 1, 2, 0, 1, 2, 1, 2, 1, 2, 0, 2, 0, 0, 1)"
40,2,"(1, 0, 0, 1, 0, 1, 2, 0, 0, 1, 1, 2, 0, 2, 2, 2, 0, 2, 1, 2, 1, 1, 1, 1, 1, 0, 1, 2, 1, 1, 2, 2, 2, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 1, 2, 0, 1)"
41,,"(0, 1, 0, 2, 1, 1, 1, 1, 0, 1, 1, 0, 1, 2, 0, 0, 1, 0, 2, 1, 0, 1, 2, 1, 2, 0, 1, 1, 2, 0, 2, 0, 1, 0, 1)"
42,0,"(1, 1, 2, 1, 0, 0, 1, 1, 2, 1, 0, 0, 2, 2, 0, 1, 2, 1, 2, 2, 2, 0, 2, 1, 2, 1, 2, 0, 1, 2, 2, 1, 1, 2, 2, 0, 0, 0, 2, 0, 1, 2, 2, 0, 1, 2, 0, 2, 1)"
43,3,"(1, 1, 1, 2, 1, 1, 0, 0, 0, 0, 2, 1, 2, 0, 1, 2, 2, 0, 0, 1, 2, 1, 2, 1, 0, 2, 1, 1, 2, 1, 2, 1, 0, 1, 0, 1)"
44,5,"(1, 1, 0, 1, 0, 1, 2, 0, 1, 0, 2, 1, 1, 1, 2, 1, 0, 1, 1, 2, 0, 0, 2, 1, 0, 2, 0, 1, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 2, 0, 0, 0, 2, 2, 1)"
45,4,"(1, 1, 1, 1, 0, 2, 1, 2, 2, 0, 1, 2, 2, 0, 2, 2, 1, 2, 2, 2, 2, 2, 0, 0, 2, 0, 0, 2, 1, 1, 2, 1, 0, 1, 2, 1, 1, 0, 2, 2, 1, 0, 1, 2, 2, 2, 1)"
46,1,"(0, 1, 1, 1, 2, 2, 2, 1, 0, 0, 1, 2, 0, 2, 1, 2, 2, 0, 2, 1, 0, 1, 2, 2, 0, 1, 2, 2, 1, 1, 0, 1, 2, 2, 0, 0, 2, 1, 1, 2, 2, 0, 1, 2, 2, 0, 2, 1)"
47,2,"(0, 1, 1, 1, 0, 2, 0, 2, 1, 0, 0, 1, 1, 0, 2, 0, 2, 1, 2, 2, 2, 2, 0, 2, 0, 0, 2, 0, 1, 0, 0, 1, 2, 1, 1, 0, 2, 1, 0, 2, 0, 2, 1, 2, 2, 0, 2, 1, 2, 0, 2, 2, 1, 2, 1)"
48,4,"(1, 2, 2, 2, 1, 0, 1, 0, 1, 1, 1, 2, 2, 1, 0, 0, 0, 1, 1, 0, 2, 0, 1, 2, 1, 1, 2, 2, 1, 2, 1, 2, 2, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1)"
49,,"(0, 0, 1, 0, 1, 1, 2, 2, 1, 2, 0, 2, 2, 1, 1, 0, 0, 2, 0, 2, 1, 1, 1, 2, 1, 1, 0, 2, 0, 0, 2, 2, 1, 2, 0, 2, 0, 1, 1, 1, 1)"
50,0,"(1, 1, 1, 2, 0, 1, 2, 1, 0, 2, 0, 2, 1, 2, 2, 0, 1, 2, 1, 0, 1, 2, 2, 0, 0, 2, 1, 2, 1, 0, 2, 0, 0, 0, 2, 0, 1, 0, 1, 0, 1, 1, 1)"
51,1,"(1, 2, 1, 2, 0, 2, 0, 1, 2, 0, 1, 0, 2, 0, 2, 0, 1, 2, 0, 2, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 2, 0, 0, 2, 0, 0, 1, 2, 0, 2, 1, 0, 2, 1, 2, 2, 0, 0, 2, 0, 2, 0, 2, 2, 2, 2, 0, 0, 1, 0, 2, 1, 0, 1)"
52,3,"(1, 1, 2, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 2, 2, 0, 0, 1, 2, 0, 0, 2, 2, 1, 1, 1, 2, 2, 2, 0, 0, 2, 0, 0, 0, 0, 2, 1, 1, 0, 1, 2, 1)"
53,3,"(1, 1, 1, 1, 1, 2, 0, 0, 1, 0, 1, 0, 1, 1, 0, 2, 2, 2, 2, 1, 0, 2, 0, 0, 1, 0, 2, 1, 0, 1, 0, 0, 1, 2, 1, 0, 1)"
54,3,"(1, 1, 0, 1, 1, 2, 0, 2, 2, 2, 1, 0, 0, 1, 0, 1, 1, 0, 2, 2, 2, 1, 1, 0, 0, 2, 2, 2, 1, 0, 2, 2, 0, 1, 1, 0, 2, 0, 0, 0, 1, 2, 2, 2, 2, 2, 0, 1, 2, 0, 1)"
55,5,"(1, 1, 1, 2, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 2, 1, 2, 1, 2, 2, 2, 2, 1, 2, 0, 2, 0, 2, 1, 1, 1, 1, 2, 0, 0, 1)"
56,1,"(1, 0, 1, 0, 2, 0, 0, 0, 0, 1, 1, 2, 0, 2, 1, 2, 1, 1, 2, 1, 1, 2, 2, 0, 0, 1, 1, 1, 2, 0, 1, 2, 2, 1, 2, 0, 0, 2, 2, 0, 1, 0, 2, 1)"
57,1,"(1, 1, 0, 1, 0, 1, 2, 1, 1, 2, 2, 2, 2, 1, 2, 0, 1, 2, 0, 1, 0, 1, 0, 0, 2, 2, 0, 0, 0, 1, 1, 0, 1, 2, 1, 2, 1, 2, 1)"
58,3,"(1, 1, 1, 2, 2, 0, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 2, 0, 2, 0, 2, 2, 0, 0, 2, 0, 2, 2, 0, 1, 1, 0, 1, 2, 1, 2, 2, 0, 1, 0, 2, 0, 2, 1, 2, 2, 0, 1, 2, 0, 0, 2, 2, 1, 2, 2, 2, 2, 2, 0, 2, 0, 1)"
59,1,"(1, 1, 0, 1, 0, 1, 2, 2, 1, 0, 1, 0, 2, 1, 2, 2, 1, 1, 0, 2, 1, 0, 2, 2, 0, 2, 2, 2, 0, 0, 1, 1, 2, 0, 2, 0, 2, 2, 0, 2, 2, 1, 0, 2, 1, 1, 1)"
60,2,"(1, 1, 1, 1, 0, 2, 1, 2, 1, 0, 2, 2, 2, 0, 2, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 2, 1, 2, 2, 1, 1, 1, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 1)"
61,,"(0, 1, 0, 2, 1, 1, 0, 2, 0, 1, 2, 2, 0, 1, 0, 0, 2, 0, 0, 1, 2, 0, 0, 0, 1, 2, 1, 2, 1, 2, 0, 2, 1, 1, 2, 1, 1, 1, 0, 0, 0, 1, 1)"
62,4,"(1, 1, 1, 1, 2, 1, 2, 2, 2, 2, 2, 1, 2, 0, 0, 1, 1, 2, 1, 1, 2, 2, 0, 0, 0, 0, 1, 1, 1, 1, 0, 2, 2, 2, 1, 0, 2, 2, 2, 0, 0, 2, 2, 2, 0, 0, 0, 2, 2, 0, 2, 0, 2, 0, 2, 2, 0, 2, 1)"
63,4,"(1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 2, 0, 1, 1, 1, 2, 0, 1, 2, 0, 1, 0, 1, 1, 1, 2, 2, 2, 2, 2, 1, 0, 1)"
64,0,"(1, 0, 1, 0, 0, 2, 2, 1, 2, 2, 0, 0, 2, 2, 0, 1, 1, 1, 0, 0, 1, 0, 2, 1, 2, 2, 2, 1, 0, 0, 0, 2, 1, 2, 1, 2, 1, 2, 2, 0, 2, 0, 1, 2, 1, 2, 0, 2, 2, 0, 0, 1, 0, 2, 2, 0, 2, 0, 0, 1)"
65,4,"(1, 1, 0, 0, 1, 2, 2, 2, 2, 1, 2, 0, 0, 0, 1, 1, 1, 1, 2, 0, 0, 1, 1, 0, 1, 1, 2, 0, 0, 1, 0, 1, 0, 2, 2, 0, 2, 1, 1)"
66,2,"(1, 1, 1, 0, 0, 1, 2, 1, 2, 2, 0, 2, 2, 1, 2, 2, 1, 2, 0, 1, 2, 0, 2, 2, 0, 2, 2, 1, 2, 2, 2, 2, 2, 0, 2, 1, 2, 1, 1, 2, 0, 0, 1, 2, 0, 1, 1, 2, 1)"
67,4,"(1, 1, 1, 0, 1, 2, 2, 0, 0, 2, 2, 1, 0, 2, 1, 1, 1, 2, 2, 1, 1, 2, 2, 0, 1, 2, 0, 0, 2, 0, 2, 1, 1, 2, 2, 0, 2, 0, 2, 2, 0, 2, 0, 1, 2, 2, 2, 1, 2, 0, 0, 2, 2, 2, 1)"
68,2,"(0, 1, 1, 1, 1, 0, 1, 2, 2, 2, 2, 0, 2, 2, 2, 2, 0, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 2, 0, 0, 1, 0, 1, 1, 2, 1, 0, 0, 0, 1)"
69,,"(1, 1, 0, 1, 0, 2, 1, 2, 2, 0, 0, 1, 0, 1, 0, 2, 0, 0, 2, 0, 0, 2, 0, 1, 0, 0, 1, 1, 1, 0, 1, 2, 2, 0, 2, 0, 0, 2, 1, 1, 0, 0, 2, 2, 1, 2, 2, 1, 2, 2, 1)"
70,0,"(1, 1, 1, 2, 2, 2, 1, 2, 2, 0, 1, 1, 2, 0, 2, 0, 1, 2, 1, 2, 0, 2, 2, 0, 1, 1, 0, 2, 1, 1, 2, 0, 2, 1, 0, 2, 2, 1, 1, 2, 2, 0, 0, 2, 2, 2, 0, 2, 1)"
71,5,"(1, 0, 1, 2, 0, 0, 2, 2, 1, 0, 0, 1, 2, 2, 1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 0, 0, 2, 0, 0, 1, 2, 1, 0, 1, 2, 2, 0, 2, 2, 0, 0, 1, 1, 0, 2, 0, 0, 2, 2, 2, 1)"
72,0,"(1, 0, 1, 1, 0, 0, 2, 1, 2, 1, 0, 1, 2, 2, 0, 0, 1, 2, 1, 1, 2, 2, 2, 1, 1, 0, 0, 1, 2, 0, 0, 1, 0, 2, 0, 1, 2, 1, 2, 0, 2, 0, 1)"
73,1,"(1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 2, 0, 1, 2, 0, 1, 2, 0, 0, 2, 1, 2, 1, 2, 2, 1, 2, 2, 1, 1)"
74,3,"(1, 1, 0, 2, 0, 0, 1, 1, 0, 1, 1, 1, 2, 2, 2, 0, 2, 2, 0, 2, 2, 0, 0, 0, 1, 0, 1, 2, 1, 2, 2, 1, 0, 2, 1, 1, 2, 0, 1, 2, 0, 2, 2, 2, 0, 2, 2, 0, 2, 0, 2, 2, 1, 1)"
75,5,"(0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 2, 1, 0, 1, 0, 0, 1, 1, 1, 2, 1, 2, 1, 0, 2, 1, 0, 0, 1, 1, 0, 0, 2, 1, 2, 0, 0, 1)"
76,0,"(1, 0, 1, 1, 2, 0, 2, 0, 1, 1, 2, 1, 2, 1, 2, 0, 1, 0, 1, 0, 1, 2, 0, 2, 2, 2, 2, 1, 1, 2, 2, 1, 2, 1, 2, 0, 2, 0, 0, 1, 0, 0, 2, 0, 2, 0, 2, 2, 2, 2, 0, 2, 2, 0, 2, 0, 2, 0, 1)"
77,1,"(1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 2, 2, 1, 1, 0, 2, 2, 2, 2, 0, 1, 0, 1, 2, 1, 1, 1, 2, 2, 0, 2, 2, 0, 0, 2, 0, 1)"
