game_n,winner,turn_outcome
0,2,"(1, 0, 2, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 0, 2, 0, 2, 0, 1, 0, 0, 2, 0, 2, 1, 1)"
1,1,"(1, 1, 1, 1, 2, 0, 1, 0, 1, 2, 1, 0, 0, 1, 2, 2, 0, 1, 2, 2, 2, 2, 2, 1, 0, 2, 1, 2, 1, 0, 0, 0, 1, 2, 2, 2, 2, 1, 1, 0, 1)"
2,2,"(1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 2, 0, 1, 2, 2, 2, 0, 2, 1, 0, 1, 1, 1, 2, 0, 0, 2, 1, 0, 1, 2, 2, 1)"
3,0,"(1, 2, 1, 0, 0, 0, 0, 1, 1, 2, 1, 0, 0, 1, 2, 1, 2, 2, 2, 1, 0, 0, 0, 1, 1, 1, 0, 2, 1, 0, 2, 1, 2, 2, 1, 1, 1)"
4,1,"(1, 1, 0, 2, 0, 1, 0, 1, 2, 0, 1, 0, 0, 2, 1, 0, 0, 2, 0, 1, 1, 1, 1, 1, 1, 2, 0, 2, 2, 0, 0, 1, 1, 1, 2, 1)"
5,0,"(1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 1, 1)"
6,2,"(1, 0, 1, 2, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 2, 0, 2, 0, 1, 1, 1)"
7,1,"(1, 1, 1, 2, 1, 1, 1, 2, 0, 1, 2, 2, 0, 1, 1, 0, 2, 1, 1, 1, 0, 2, 1, 2, 1, 0, 0, 1, 1)"
8,1,"(1, 1, 1, 2, 1, 1, 2, 0, 0, 0, 1, 2, 0, 2, 1, 0, 1, 1, 1, 0, 2, 1, 1, 0, 1, 2, 1, 0, 1, 0, 1)"
9,0,"(1, 1, 0, 0, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 2, 2, 0, 0, 1, 0, 1, 1, 2, 1, 0, 1, 1, 2, 2, 0, 2, 0, 2, 2, 1)"
10,2,"(1, 1, 0, 1, 2, 2, 1, 0, 2, 0, 2, 0, 0, 1, 1, 2, 0, 1, 1, 1, 1, 2, 2, 2, 0, 0, 0, 0, 0, 1, 2, 2, 1, 0, 1, 1, 0, 1, 1)"
11,1,"(0, 1, 1, 1, 1, 2, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1)"
12,2,"(0, 1, 0, 1, 1, 2, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 2, 1, 0, 2, 1)"
13,0,"(1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 2, 2, 0, 1, 2, 2, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1)"
14,0,"(1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 2, 2, 0, 0, 1, 2, 1, 0, 1)"
15,0,"(0, 1, 1, 1, 0, 1, 0, 1, 1, 2, 1, 0, 0, 1, 2, 1, 0, 1, 1, 2, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1)"
16,0,"(1, 0, 1, 1, 2, 1, 2, 2, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 2, 1, 1, 1, 0, 1, 0, 0, 2, 0, 0, 1)"
17,0,"(1, 1, 0, 2, 1, 2, 1, 1, 0, 1, 1, 0, 1, 1, 2, 2, 1, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1)"
18,1,"(1, 1, 1, 1, 0, 1, 2, 2, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 2, 1, 2, 0, 2, 1, 0, 1, 2, 1)"
19,0,"(1, 1, 1, 0, 1, 0, 1, 1, 2, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 2, 1, 0, 1)"
20,1,"(1, 1, 2, 2, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 2, 0, 1, 2, 2, 1, 1, 0, 2, 1, 2, 1, 2, 0, 1, 1, 1, 1)"
21,2,"(1, 1, 1, 2, 1, 0, 1, 1, 2, 0, 0, 2, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1)"
22,0,"(1, 1, 1, 0, 1, 1, 1, 2, 1, 2, 1, 0, 2, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1)"
23,2,"(1, 0, 2, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 2, 1, 0, 0, 2, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 2, 0, 1)"
24,1,"(1, 2, 2, 0, 1, 1, 1, 1, 0, 0, 1, 2, 1, 0, 0, 0, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1)"
25,2,"(1, 1, 2, 1, 1, 1, 0, 1, 1, 2, 1, 2, 2, 1, 1, 2, 0, 1, 2, 2, 0, 0, 1, 0, 0, 1, 1, 0, 0, 2, 2, 1, 1)"
26,,"(1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 2, 2, 0, 2, 1, 1, 0, 2, 0, 1, 1, 1, 2, 0, 1)"
27,0,"(1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 2, 0, 2, 1, 0, 0, 1, 2, 0, 0, 1, 0, 1, 0, 1)"
28,0,"(1, 2, 1, 1, 0, 1, 2, 2, 0, 2, 0, 1, 2, 1, 1, 1, 1, 1, 2, 2, 0, 1, 2, 1, 0, 0, 1, 2, 2, 1, 2, 2, 0, 1, 1)"
29,0,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 2, 1, 2, 0, 0, 1, 2, 1)"
