game_n,winner,turn_outcome
0,2,"(1, 1, 1, 1, 1, 1, 2, 1, 0, 0, 2, 0, 1, 0, 2, 2, 2, 0, 1, 2, 1, 0, 0, 2, 0, 1, 1, 1, 0, 0, 0, 2, 2, 0, 0, 2, 0, 1, 2, 0, 2, 1, 2, 0, 2, 1)"
1,2,"(1, 1, 1, 2, 2, 2, 0, 1, 2, 1, 2, 1, 1, 2, 0, 1, 1, 2, 0, 0, 0, 1, 0, 1, 2, 0, 1, 1, 2, 2, 1, 1, 2, 0, 1)"
2,5,"(1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 2, 1, 1, 2, 2, 0, 1, 0, 2, 0, 0, 1, 2, 0, 0, 2, 1, 2, 0, 1, 0, 2, 2, 1, 1, 0, 2, 1, 2, 2, 2, 2, 1, 0, 0, 0, 0, 1, 0, 2, 0, 1)"
3,,"(1, 1, 1, 2, 2, 2, 0, 1, 2, 0, 2, 2, 1, 2, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 2, 0, 1, 2, 2, 0, 1, 0, 2, 2, 0, 1, 2, 0, 2, 0, 2, 2, 0, 1, 1)"
4,6,"(1, 1, 1, 1, 1, 2, 2, 2, 1, 2, 2, 2, 2, 1, 0, 2, 2, 2, 2, 1, 2, 1, 1, 2, 2, 0, 0, 2, 2, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 0, 0, 1, 2, 1, 2, 2, 0, 2, 2, 2, 2, 0, 1)"
5,1,"(1, 1, 0, 1, 2, 1, 0, 1, 1, 0, 1, 2, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 2, 1, 2, 2, 0, 0, 2, 1, 1)"
6,0,"(0, 1, 1, 1, 1, 2, 2, 0, 2, 1, 2, 2, 2, 0, 0, 1, 2, 2, 0, 2, 0, 0, 0, 1, 2, 2, 2, 1, 1, 2, 1, 0, 2, 2, 2, 2, 0, 0, 2, 2, 2, 1, 2, 1, 0, 2, 1, 0, 0, 2, 1, 2, 0, 1, 1)"
7,,"(1, 1, 0, 1, 1, 2, 1, 0, 0, 1, 0, 2, 0, 1, 0, 1, 2, 2, 2, 2, 2, 0, 0, 2, 0, 1, 2, 0, 2, 1, 0, 2, 0, 1, 2, 2, 1, 2, 1, 0, 2, 2, 2, 1, 2, 0, 2, 2, 0, 1, 2, 0, 1)"
8,,"(1, 1, 2, 0, 1, 2, 0, 1, 0, 2, 0, 0, 2, 1, 1, 1, 0, 1, 0, 1, 0, 1, 2, 0, 0, 2, 2, 1, 2, 2, 1, 2, 1, 2, 1, 2, 2, 2, 2, 0, 0, 2, 2, 2, 1, 2, 0, 2, 0, 2, 1)"
9,4,"(1, 1, 0, 1, 0, 2, 0, 1, 2, 2, 2, 0, 1, 2, 0, 0, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 0, 0, 0, 1, 2, 0, 1, 1, 0, 0, 1)"
10,0,"(1, 0, 0, 1, 1, 1, 0, 1, 2, 1, 0, 2, 2, 2, 1, 1, 0, 1, 0, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 0, 1, 0, 2, 2, 2, 2, 1, 0, 0, 0, 2, 2, 2, 2, 1, 0, 2, 2, 2, 2, 2, 2, 0, 2, 0, 2, 2, 1)"
11,6,"(1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 0, 1, 0, 1, 1, 2, 2, 1, 2, 1, 2, 1, 2, 0, 0, 2, 0, 0, 0, 0, 2, 2, 2, 2, 1)"
12,2,"(1, 1, 1, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 1, 1, 2, 0, 2, 2, 0, 2, 2, 1, 0, 2, 2, 0, 1, 1, 2, 1, 0, 0, 2, 2, 0, 2, 2, 0, 1, 2, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 1, 0, 0, 2, 1, 0, 0, 0, 2, 2, 0, 2, 0, 0, 0, 0, 0, 0, 1)"
13,3,"(1, 0, 1, 0, 1, 2, 1, 1, 2, 2, 1, 2, 1, 2, 1, 2, 2, 0, 2, 0, 2, 0, 0, 0, 2, 1, 0, 2, 0, 1, 1, 2, 1, 1, 0, 2, 0, 1, 2, 0, 0, 1, 2, 0, 0, 2, 0, 2, 0, 2, 1)"
14,,"(0, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 0, 0, 1, 2, 2, 2, 1, 1, 1, 2, 2, 1, 2, 0, 2, 2, 2, 1, 2, 2, 2, 0, 1)"
15,6,"(0, 1, 1, 2, 2, 2, 1, 1, 2, 2, 1, 0, 2, 2, 1, 0, 0, 0, 2, 2, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 2, 0, 1, 0, 2, 0, 0, 2, 2, 1, 2, 1, 2, 0, 1, 2, 2, 1)"
16,,"(1, 1, 2, 1, 0, 0, 2, 1, 1, 2, 2, 1, 1, 2, 2, 0, 0, 2, 1, 2, 2, 1, 2, 2, 2, 0, 2, 1, 1, 2, 0, 1, 0, 2, 1, 1, 0, 0, 0, 0, 2, 2, 0, 2, 2, 0, 0, 1, 0, 2, 0, 0, 2, 1)"
17,0,"(1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 2, 0, 0, 1, 2, 2, 2, 2, 0, 2, 1, 1, 2, 2, 2, 2, 0, 0, 2, 1, 2, 0, 1, 1, 2, 0, 2, 1, 1)"
18,6,"(1, 1, 0, 1, 2, 0, 2, 1, 2, 0, 1, 1, 2, 1, 1, 2, 2, 2, 0, 0, 1, 0, 1, 0, 1, 1, 1, 2, 0, 0, 0, 1, 0, 0, 1, 2, 2, 0, 0, 0, 2, 2, 1)"
19,2,"(1, 1, 0, 1, 0, 2, 1, 1, 2, 2, 1, 2, 2, 0, 1, 2, 2, 2, 0, 0, 0, 1, 2, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1)"
20,5,"(0, 0, 0, 1, 2, 1, 0, 1, 0, 2, 2, 1, 0, 0, 1, 2, 0, 2, 0, 1, 0, 1, 2, 1, 2, 2, 2, 1, 0, 0, 2, 0, 2, 1, 0, 2, 0, 2, 1, 0, 2, 0, 2, 0, 2, 2, 0, 2, 1, 1, 2, 0, 1, 1, 0, 0, 2, 2, 0, 0, 2, 2, 2, 0, 2, 2, 0, 2, 2, 1)"
21,0,"(0, 1, 1, 1, 1, 1, 0, 2, 2, 0, 2, 2, 1, 2, 1, 1, 1, 1, 2, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 2, 0, 2, 1)"
22,,"(1, 0, 2, 2, 0, 0, 0, 1, 0, 1, 2, 2, 2, 2, 1, 2, 1, 2, 1, 2, 2, 2, 0, 2, 2, 0, 2, 0, 2, 1, 1, 0, 1, 0, 2, 1, 0, 2, 1, 1, 2, 2, 1, 0, 0, 1, 1, 2, 1)"
23,,"(0, 0, 1, 1, 1, 1, 2, 1, 0, 2, 2, 2, 2, 2, 1, 1, 2, 2, 0, 0, 0, 0, 0, 2, 0, 1, 1, 1, 1, 2, 0, 2, 2, 0, 2, 2, 2, 1, 1, 2, 0, 1, 2, 2, 0, 2, 1, 2, 2, 2, 2, 2, 0, 1)"
24,0,"(1, 2, 0, 0, 1, 1, 2, 1, 1, 1, 2, 2, 0, 0, 0, 1, 2, 2, 0, 1, 2, 2, 2, 1, 0, 0, 0, 0, 2, 0, 0, 1, 1, 1, 2, 2, 2, 1, 1, 0, 0, 0, 2, 2, 1, 2, 1)"
25,3,"(0, 1, 1, 0, 0, 2, 0, 2, 2, 1, 2, 0, 0, 2, 0, 0, 1, 1, 1, 2, 2, 0, 0, 2, 1, 0, 1, 1, 1, 2, 0, 2, 0, 1, 2, 0, 1, 1, 2, 1, 2, 1, 1)"
26,2,"(1, 0, 1, 2, 1, 1, 0, 1, 2, 1, 1, 2, 1, 0, 2, 1, 0, 1, 0, 0, 2, 2, 0, 1, 2, 2, 2, 0, 1, 2, 1, 2, 2, 0, 2, 0, 1, 2, 2, 0, 0, 1, 0, 2, 1)"
27,2,"(1, 1, 2, 1, 2, 2, 2, 2, 1, 2, 2, 0, 2, 2, 0, 1, 1, 1, 1, 2, 1, 1, 2, 2, 2, 2, 2, 2, 0, 0, 1, 2, 0, 0, 1, 1, 2, 0, 0, 1, 2, 1, 2, 2, 2, 2, 1)"
28,0,"(1, 0, 1, 1, 0, 2, 0, 1, 1, 0, 2, 2, 2, 1, 1, 0, 2, 2, 1, 0, 2, 1, 2, 0, 0, 0, 2, 0, 1, 0, 1, 1, 2, 1, 1, 0, 0, 0, 2, 1, 0, 2, 1)"
29,2,"(1, 0, 1, 0, 2, 0, 1, 0, 1, 2, 2, 1, 2, 1, 0, 2, 2, 1, 2, 2, 2, 0, 2, 1, 1, 0, 2, 2, 2, 0, 1, 2, 2, 2, 0, 0, 1, 1, 1, 2, 2, 0, 2, 2, 0, 2, 1, 2, 2, 1, 0, 1)"
30,4,"(0, 1, 1, 1, 2, 2, 2, 1, 0, 2, 0, 2, 2, 2, 2, 0, 1, 2, 2, 1, 1, 0, 0, 0, 2, 0, 0, 2, 1, 2, 1, 1, 2, 1, 0, 1, 2, 2, 0, 2, 0, 2, 2, 0, 2, 1, 2, 2, 0, 1, 0, 2, 2, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 1)"
