game_n,winner,turn_outcome
0,0,"(1, 1, 1, 2, 1, 0, 1, 0, 2, 1, 1, 1, 2, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 2, 1, 1)"
1,1,"(1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 2, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 2, 1)"
2,0,"(1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 2, 0, 0, 1, 1, 1, 0, 2, 2, 0, 0, 1, 1, 2, 1, 2, 1, 2, 0, 1, 2, 1)"
3,1,"(1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 2, 0, 1, 2, 2, 2, 2, 1, 2, 0, 2, 2, 2, 0, 0, 1)"
4,0,"(1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 2, 1, 0, 0, 1, 1, 0, 1, 0, 1, 2, 0, 0, 0, 0, 1)"
5,2,"(1, 1, 0, 1, 1, 2, 1, 1, 1, 1, 0, 1, 0, 2, 0, 1, 0, 1, 2, 0, 2, 1, 2, 1, 2, 2, 0, 0, 0, 2, 1, 1, 1)"
6,1,"(1, 1, 2, 1, 1, 0, 0, 1, 0, 1, 2, 1, 0, 1, 2, 2, 2, 1, 0, 1, 0, 1, 1, 1, 2, 1, 0, 1, 0, 0, 0, 1)"
7,2,"(1, 1, 1, 2, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 2, 1, 2, 1, 0, 1, 2, 1, 0, 0, 1, 1, 1, 2, 2, 0, 0, 2, 0, 0, 1, 1, 1, 1)"
8,0,"(1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 2, 0, 1, 2, 1, 1, 2, 0, 1, 0, 0, 1, 1, 1, 1, 0, 2, 2, 1, 0, 1, 0, 1)"
9,2,"(0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 2, 1, 1, 2, 1, 0, 1, 2, 0, 2, 2, 0, 2, 0, 1, 1, 0, 1, 0, 2, 2, 0, 1)"
10,1,"(1, 1, 2, 1, 2, 2, 2, 1, 0, 1, 2, 2, 1, 2, 2, 1, 2, 1, 1, 0, 1, 2, 1, 2, 2, 2, 0, 0, 0, 2, 1, 0, 2, 0, 1, 0, 2, 2, 1, 1, 1)"
11,,"(0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 2, 1, 0, 1, 1, 0, 1, 1, 2, 1, 1, 2, 1, 0, 0, 1)"
12,0,"(1, 1, 0, 1, 0, 1, 1, 2, 2, 2, 1, 1, 1, 2, 1, 2, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 2, 2, 0, 0, 1, 0, 1)"
13,0,"(1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 1, 0, 1, 2, 0, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 2, 0, 2, 1)"
14,1,"(0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 2, 2, 1, 1, 0, 2, 2, 1, 1, 2, 2, 1, 1, 0, 1)"
15,2,"(1, 2, 1, 0, 1, 2, 1, 2, 0, 1, 0, 1, 0, 2, 1, 1, 2, 0, 1, 1, 2, 1, 0, 2, 0, 0, 1, 2, 1, 0, 0, 2, 1, 1, 1)"
16,2,"(1, 0, 1, 1, 1, 2, 2, 0, 1, 0, 0, 1, 1, 0, 2, 1, 1, 0, 1, 1, 1, 1, 1, 2, 0, 0, 2, 1, 0, 0, 2, 1)"
17,,"(0, 1, 1, 0, 1, 2, 1, 1, 2, 0, 1, 0, 0, 2, 2, 2, 0, 2, 2, 1, 0, 0, 1, 1, 2, 1, 2, 1, 0, 1, 1, 1, 0, 1, 1)"
