game_n,winner,turn_outcome
0,1,"(0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 2, 0, 2, 1, 1, 2, 2, 1, 1)"
1,0,"(0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 2, 1, 0, 0, 1, 2, 2, 1, 1, 1, 0, 2, 1, 2, 2, 1, 0, 0, 1)"
2,,"(1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 2, 2, 0, 1, 2, 2, 1, 0, 1, 2, 2, 2, 0, 0, 0, 0, 1)"
3,1,"(1, 0, 0, 1, 1, 2, 1, 1, 1, 1, 0, 2, 0, 1, 1, 1, 2, 1, 1, 0, 0, 1, 1, 1, 0, 1)"
4,0,"(1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 0, 1, 0, 0, 1, 0, 0, 2, 0, 1, 1, 2, 1)"
5,0,"(1, 1, 1, 1, 2, 2, 1, 1, 1, 0, 2, 2, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1)"
6,1,"(1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 2, 2, 0, 0, 1, 2, 1, 1, 1, 0, 2, 2, 0, 1, 2, 0, 1)"
7,1,"(1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 2, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1)"
8,0,"(0, 1, 2, 1, 1, 0, 0, 2, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 2, 1, 2, 1, 0, 1, 1)"
9,1,"(1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1)"
10,0,"(1, 2, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 2, 0, 0, 0, 1, 1, 0, 2, 1, 1)"
11,1,"(1, 2, 1, 1, 1, 1, 0, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 0, 1, 0, 1, 0, 0, 0, 1, 1)"
12,0,"(1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 2, 2, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1)"
13,1,"(1, 1, 1, 1, 1, 2, 1, 1, 0, 0, 0, 1, 0, 1, 2, 1, 1, 1, 2, 1, 0, 1, 1, 0, 0, 1)"
14,0,"(1, 1, 1, 0, 1, 2, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 2, 2, 1, 2, 1, 0, 2, 0, 0, 1)"
15,0,"(1, 1, 0, 0, 1, 2, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 2, 0, 1, 1)"
16,1,"(0, 1, 1, 1, 1, 2, 0, 1, 1, 0, 0, 0, 1, 0, 1, 2, 0, 1, 2, 1, 1, 0, 0, 2, 1, 1, 1, 1, 2, 1)"
17,0,"(1, 2, 1, 1, 1, 2, 1, 1, 0, 1, 0, 1, 0, 1, 1, 2, 0, 0, 2, 0, 1, 1, 1, 0, 2, 0, 0, 1, 1, 0, 2, 0, 2, 0, 0, 1)"
18,1,"(1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 2, 1, 0, 0, 1, 1)"
19,0,"(1, 1, 1, 1, 2, 0, 1, 1, 1, 1, 1, 0, 1, 1, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1)"
20,1,"(0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1)"
21,1,"(1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 2, 2, 1, 1, 2, 0, 1, 1, 0, 1, 1, 0, 2, 1, 0, 1)"
22,1,"(1, 0, 1, 2, 1, 0, 1, 1, 0, 1, 1, 1, 2, 0, 0, 2, 1, 1, 1, 1, 1, 0, 0, 2, 1, 2, 0, 1, 0, 1)"
23,0,"(1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 2, 2, 2, 0, 0, 1, 1, 1, 1)"
24,0,"(0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 2, 1, 0, 0, 1, 1, 0, 1, 2, 0, 0, 1, 2, 2, 0, 0, 1)"
25,1,"(0, 1, 1, 2, 1, 1, 0, 1, 2, 1, 1, 2, 2, 0, 0, 1, 2, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1)"
26,1,"(1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1)"
27,0,"(1, 1, 1, 2, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 2, 0, 1, 2, 1)"
28,1,"(1, 1, 1, 0, 1, 2, 1, 0, 0, 2, 1, 1, 1, 1, 2, 1, 0, 1, 1, 2, 2, 2, 0, 0, 1, 2, 1, 0, 1, 1)"
29,1,"(0, 1, 1, 2, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 2, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 2, 1)"
30,0,"(1, 1, 1, 2, 0, 0, 1, 2, 2, 1, 2, 1, 0, 1, 1, 1, 1, 1, 2, 0, 0, 0, 1, 2, 1, 0, 0, 2, 2, 1, 1, 0, 0, 0, 0, 1)"
31,1,"(1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 0, 2, 1, 0, 1, 2, 0, 1, 2, 0, 2, 1, 1, 0, 0, 2, 1)"
32,0,"(1, 0, 1, 2, 0, 1, 2, 1, 1, 1, 1, 0, 1, 0, 2, 1, 0, 0, 0, 0, 1, 1, 1, 2, 1, 1, 0, 1, 1)"
33,0,"(1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 2, 1, 1, 1, 1, 0, 1, 2, 2, 0, 1, 1, 2, 1, 2, 1)"
34,0,"(0, 0, 1, 1, 1, 2, 2, 1, 1, 1, 1, 0, 1, 1, 2, 2, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1)"
35,0,"(1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 2, 1, 1, 1, 2, 0, 1, 1)"
36,0,"(0, 0, 1, 0, 0, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 2, 0, 1, 0, 1)"
37,0,"(1, 1, 1, 2, 1, 1, 1, 2, 2, 2, 1, 2, 1, 0, 2, 1, 1, 0, 1, 0, 0, 0, 2, 0, 0, 1, 2, 1, 0, 0, 1, 1, 1)"
38,1,"(0, 1, 1, 2, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 2, 1, 1, 1, 1, 0, 0, 1)"
