game_n,winner,turn_outcome
0,0,"(1, 1, 2, 0, 0, 1, 1, 1, 2, 0, 0, 0, 0, 1, 2, 0, 1, 0, 2, 1, 2, 2, 2, 2, 2, 1, 0, 1, 0, 1, 1, 0, 0, 1, 2, 2, 2, 0, 2, 0, 1, 2, 1, 0, 2, 2, 1)"
1,,"(1, 1, 1, 1, 1, 0, 0, 1, 2, 0, 2, 0, 2, 0, 0, 0, 0, 1, 0, 1, 1, 0, 2, 0, 0, 2, 1, 0, 2, 1, 0, 0, 0, 2, 2, 1, 1, 1, 2, 2, 2, 0, 0, 1, 0, 2, 2, 2, 2, 1)"
2,4,"(1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 2, 0, 2, 2, 2, 0, 0, 1, 1, 1, 0, 0, 2, 2, 1, 1, 0, 0, 0, 1, 0, 2, 2, 2, 0, 1, 2, 0, 1, 2, 2, 2, 2, 1, 2, 0, 0, 0, 1, 1)"
3,2,"(1, 2, 1, 2, 1, 0, 2, 2, 2, 2, 2, 0, 2, 0, 1, 1, 2, 1, 0, 0, 2, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 2, 1, 1, 0, 1, 2, 1, 0, 2, 0, 1)"
4,,"(0, 1, 1, 1, 1, 0, 0, 0, 2, 1, 1, 1, 2, 2, 2, 2, 2, 1, 0, 1, 2, 1, 0, 2, 1, 2, 1, 2, 0, 2, 0, 0, 0, 1, 0, 1, 0, 1, 2, 2, 1)"
5,2,"(1, 0, 2, 1, 2, 1, 0, 0, 0, 1, 1, 2, 1, 2, 0, 1, 1, 2, 2, 2, 1, 0, 0, 1, 2, 0, 0, 2, 1, 1, 0, 2, 2, 0, 1, 2, 1, 2, 2, 0, 0, 1, 1)"
6,1,"(0, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 0, 1, 1, 0, 2, 1, 1, 2, 1, 0, 1, 2, 1, 0, 0, 2, 0, 1)"
7,2,"(1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 2, 1, 1, 0, 1, 1, 2, 0, 0, 2, 0, 2, 2, 1, 1)"
8,,"(1, 1, 1, 1, 2, 0, 1, 2, 1, 0, 2, 1, 0, 1, 2, 0, 1, 1, 2, 1, 0, 1, 1, 1, 0, 0, 2, 0, 1, 0, 1)"
9,1,"(0, 1, 1, 1, 0, 2, 1, 1, 1, 1, 2, 2, 1, 2, 0, 0, 1, 2, 0, 0, 1, 1, 0, 0, 2, 1, 1, 0, 0, 1, 0, 2, 0, 1, 2, 2, 2, 2, 0, 1)"
10,1,"(1, 1, 2, 0, 1, 0, 0, 1, 2, 1, 1, 0, 2, 0, 1, 2, 2, 2, 2, 2, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 2, 2, 2, 2, 2, 2, 2, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 1)"
11,3,"(1, 0, 1, 2, 2, 0, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 0, 1, 0, 2, 0, 2, 2, 1, 0, 0, 1, 2, 1, 2, 2, 2, 2, 1, 0, 2, 2, 1)"
12,,"(1, 2, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 2, 0, 2, 1, 0, 0, 1, 0, 0, 1, 1, 2, 2, 1, 0, 2, 1)"
13,0,"(1, 0, 2, 2, 1, 0, 2, 0, 0, 1, 0, 1, 2, 0, 2, 1, 2, 1, 2, 1, 2, 1, 0, 0, 2, 0, 1, 2, 1, 0, 1, 0, 2, 0, 1, 1, 0, 2, 0, 1, 0, 2, 2, 2, 0, 1, 2, 2, 0, 0, 2, 2, 0, 2, 1)"
14,3,"(1, 1, 1, 0, 0, 1, 0, 0, 1, 2, 2, 1, 1, 2, 2, 1, 1, 2, 2, 1, 2, 2, 1, 2, 1, 2, 0, 0, 1, 0, 1, 0, 2, 0, 0, 0, 2, 0, 1, 0, 0, 2, 2, 1)"
15,2,"(1, 0, 2, 1, 0, 1, 1, 1, 2, 0, 2, 1, 2, 1, 0, 1, 1, 0, 1, 2, 0, 2, 2, 0, 2, 2, 1, 2, 0, 0, 0, 0, 0, 1, 2, 2, 0, 1, 2, 2, 1, 2, 2, 2, 1, 0, 2, 1)"
16,0,"(1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 2, 2, 1, 1, 2, 2, 2, 2, 1, 1, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 1, 0, 0, 2, 2, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1)"
17,2,"(1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 2, 0, 1, 1, 2, 1, 1, 2, 0, 2, 2, 0, 2, 1, 2, 1, 1, 2, 0, 0, 2, 2, 2, 0, 0, 1, 1)"
18,,"(1, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 2, 2, 1, 0, 1, 2, 0, 1, 2, 2, 1, 2, 1, 0, 0, 0, 2, 1, 0, 1, 1, 1, 1, 1, 2, 0, 0, 0, 2, 0, 1, 2, 2, 2, 1)"
