game_n,winner,turn_outcome
0,2,"(1, 2, 0, 0, 1, 1, 0, 1, 0, 1, 0, 2, 2, 2, 1, 1, 0, 1, 1, 0, 1, 2, 0, 1, 2, 1, 1, 0, 0, 1, 1, 0, 2, 0, 2, 1)"
1,0,"(1, 1, 2, 0, 1, 0, 0, 0, 1, 2, 2, 1, 1, 0, 1, 1, 0, 1, 1, 2, 1, 1, 2, 1, 2, 0, 1, 2, 1, 0, 0, 0, 0, 1)"
2,1,"(1, 2, 1, 1, 2, 1, 1, 2, 2, 0, 2, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 2, 0, 2, 1)"
3,0,"(0, 1, 0, 0, 1, 1, 1, 2, 1, 0, 0, 1, 2, 2, 2, 2, 0, 1, 1, 1, 1, 2, 0, 0, 1, 1, 1, 0, 1, 2, 2, 0, 1, 2, 0, 0, 1)"
4,2,"(1, 1, 1, 0, 1, 1, 1, 2, 1, 1, 2, 1, 0, 0, 0, 0, 1, 2, 0, 1, 1, 1, 2, 1, 1, 0, 1)"
5,2,"(1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 2, 1, 0, 2, 1, 2, 0, 0, 1)"
6,2,"(1, 1, 2, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 2, 2, 0, 1, 1, 0, 2, 2, 2, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 2, 1, 2, 0, 0, 2, 0, 0, 0, 2, 0, 0, 1)"
7,0,"(0, 1, 1, 1, 2, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 2, 1, 1, 0, 1, 1, 0, 1, 2, 0, 0, 2, 0, 1)"
8,0,"(1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 2, 1, 2, 2, 0, 0, 1, 1, 2, 1, 1, 1, 2, 0, 2, 0, 0, 1, 0, 1, 2, 0, 2, 0, 1)"
9,0,"(1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 2, 2, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 1)"
10,0,"(0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 2, 0, 1, 0, 2, 2, 2, 2, 2, 2, 1)"
11,1,"(1, 1, 1, 1, 1, 1, 2, 1, 0, 1, 0, 1, 2, 2, 2, 0, 1, 0, 1, 2, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1)"
12,2,"(1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 2, 0, 1, 1, 1, 0, 1, 2, 0, 1, 1, 0, 2, 2, 2, 0, 1)"
13,2,"(1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 2, 2, 1, 2, 1, 0, 1, 1)"
14,0,"(1, 2, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 0, 0, 0, 2, 1, 1, 1)"
15,,"(1, 1, 0, 1, 1, 0, 0, 1, 1, 2, 2, 0, 0, 0, 2, 2, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 2, 1, 0, 1)"
16,,"(0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 2, 0, 1, 2, 0, 1, 1, 2, 0, 1, 0, 2, 1, 1)"
17,0,"(0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 2, 1, 2, 2, 1, 1, 0, 1, 1, 1, 1, 0, 1)"
18,1,"(1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 1, 1, 0, 1, 0, 0, 0, 1, 2, 1, 2, 1, 1, 1, 0, 1)"
19,2,"(1, 0, 1, 1, 0, 2, 1, 0, 0, 1, 2, 1, 2, 2, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 2, 2, 1, 2, 0, 0, 0, 1, 0, 0, 2, 2, 2, 1, 0, 1, 1)"
20,1,"(1, 1, 0, 1, 0, 1, 1, 2, 0, 2, 1, 1, 1, 0, 1, 2, 0, 1, 0, 2, 0, 0, 2, 0, 0, 1, 1, 2, 0, 2, 1, 2, 0, 2, 1, 0, 1, 2, 2, 0, 0, 1)"
21,0,"(1, 1, 1, 1, 2, 0, 1, 2, 1, 1, 2, 0, 2, 1, 1, 2, 0, 1, 1, 0, 2, 1, 2, 0, 2, 0, 1, 1, 0, 0, 1, 0, 0, 1)"
22,2,"(1, 1, 2, 1, 0, 0, 1, 2, 1, 1, 2, 2, 0, 2, 1, 1, 0, 1, 1, 1, 2, 2, 0, 2, 1, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 2, 2, 2, 1, 1)"
23,1,"(0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 2, 1, 1, 1, 1, 0, 1, 0, 2, 0, 1, 1, 1, 0, 0, 2, 0, 2, 0, 0, 0, 2, 0, 0, 0, 1)"
24,,"(1, 2, 1, 1, 1, 0, 2, 0, 0, 1, 1, 0, 1, 1, 0, 1, 2, 1, 0, 0, 1, 1, 2, 1, 1, 2, 1, 2, 1)"
25,1,"(0, 1, 1, 2, 1, 1, 0, 1, 1, 0, 1, 0, 2, 0, 0, 2, 1, 0, 1, 1, 2, 1, 1, 0, 1, 1, 2, 0, 0, 1, 0, 0, 2, 1)"
26,2,"(1, 1, 1, 1, 0, 1, 0, 0, 2, 0, 1, 2, 1, 0, 1, 2, 2, 1, 2, 1, 2, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 2, 2, 1, 0, 1)"
27,0,"(0, 0, 1, 0, 0, 1, 0, 2, 1, 2, 0, 1, 1, 1, 0, 0, 2, 0, 2, 1, 0, 1, 0, 1, 0, 2, 0, 2, 1, 0, 1, 0, 1, 1, 2, 1, 1, 2, 1)"
28,1,"(1, 1, 2, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 2, 2, 0, 1, 0, 0, 2, 1, 2, 1, 2, 1, 1, 2, 2, 2, 2, 2, 1)"
29,1,"(0, 1, 2, 2, 1, 2, 1, 1, 1, 0, 1, 2, 2, 1, 0, 1, 0, 0, 1, 1, 1, 0, 2, 0, 0, 1, 2, 0, 1, 2, 2, 1, 1, 2, 1)"
30,0,"(1, 1, 0, 1, 1, 2, 1, 1, 0, 2, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 2, 0, 1, 1)"
