game_n,winner,turn_outcome
0,,"(0, 1, 1, 2, 1, 0, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 2, 1, 0, 1, 0, 2, 2, 0, 1, 1, 0, 2, 0, 0, 2, 2, 0, 1, 2, 2, 0, 0, 0, 0, 1)"
1,1,"(1, 0, 0, 2, 2, 2, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 2, 2, 1, 0, 1, 0, 1, 1, 2, 1, 0, 1, 1, 0, 0, 0, 2, 1, 1)"
2,3,"(1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 2, 2, 1, 2, 2, 0, 2, 0, 1, 2, 0, 1, 1, 1, 2, 2, 0, 0, 1, 2, 2, 2, 0, 2, 2, 2, 0, 2, 1)"
3,0,"(1, 1, 0, 1, 2, 0, 1, 1, 2, 2, 1, 1, 2, 0, 0, 1, 2, 1, 2, 0, 0, 2, 1, 2, 1, 0, 1, 0, 1, 1, 0, 2, 2, 1, 1)"
4,3,"(1, 1, 1, 1, 0, 1, 2, 2, 2, 0, 0, 2, 1, 1, 0, 1, 0, 0, 0, 2, 1, 0, 0, 1, 1, 0, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1)"
5,3,"(1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 2, 1, 1, 2, 1, 2, 2, 1, 0, 0, 0, 0, 2, 2, 0, 0, 1, 1, 2, 2, 1, 2, 2, 0, 2, 0, 2, 0, 2, 1)"
6,2,"(1, 0, 0, 1, 1, 1, 1, 2, 1, 2, 2, 0, 0, 1, 2, 1, 0, 1, 1, 1, 1, 0, 1, 1, 2, 2, 0, 1, 0, 1)"
7,1,"(1, 1, 0, 0, 1, 1, 2, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 2, 0, 1, 1, 1, 2, 0, 1, 0, 1)"
8,,"(1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 2, 1, 2, 1, 0, 2, 1, 1, 1, 1, 2, 1, 0, 1, 2, 2, 1, 1, 2, 0, 1)"
9,3,"(0, 1, 1, 1, 2, 1, 2, 1, 0, 1, 1, 2, 0, 0, 0, 1, 1, 2, 1, 1, 2, 0, 1, 0, 1, 2, 0, 2, 0, 1, 1, 1)"
10,0,"(1, 0, 1, 1, 1, 2, 0, 1, 2, 0, 1, 2, 1, 2, 1, 2, 2, 2, 1, 2, 0, 2, 1, 0, 2, 2, 2, 2, 0, 2, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1)"
11,3,"(1, 0, 1, 2, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 2, 1, 2, 1, 1, 2, 2, 0, 0, 2, 2, 1, 1, 1)"
12,1,"(1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 1, 0, 2, 1, 2, 2, 0, 2, 0, 2, 0, 2, 0, 0, 1, 2, 1, 0, 1, 1, 2, 0, 1, 2, 0, 2, 2, 2, 2, 0, 0, 1)"
13,3,"(1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 2, 1, 2, 1, 2, 2, 2, 0, 1, 0, 0, 2, 1, 1, 0, 0, 1, 1, 2, 1, 1)"
14,2,"(1, 2, 0, 1, 1, 1, 2, 0, 2, 1, 1, 2, 2, 2, 0, 1, 2, 0, 0, 0, 0, 2, 0, 0, 0, 1, 1, 2, 0, 0, 1, 1, 2, 2, 2, 0, 1, 0, 1, 1, 1, 0, 1)"
15,0,"(1, 1, 1, 2, 1, 2, 2, 2, 1, 2, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 2, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 2, 1)"
16,2,"(1, 1, 1, 2, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1)"
17,2,"(0, 0, 1, 1, 2, 2, 1, 1, 1, 2, 1, 0, 0, 1, 1, 2, 0, 2, 2, 1, 2, 1, 0, 2, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1)"
18,,"(0, 1, 1, 2, 2, 1, 1, 2, 1, 0, 0, 1, 0, 0, 1, 2, 0, 1, 2, 2, 2, 2, 1, 1, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 1, 1, 2, 2, 1)"
19,1,"(1, 1, 2, 1, 1, 2, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 2, 2, 1, 0, 1, 0, 2, 1, 1)"
20,,"(1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 2, 0, 1, 1, 0, 1, 1, 1)"
21,3,"(1, 1, 2, 1, 1, 0, 2, 2, 1, 2, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 2, 1, 2, 0, 2, 2, 2, 1)"
22,1,"(0, 1, 1, 1, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 1, 1, 2, 1, 2, 0, 2, 1, 1, 2, 1, 1, 1, 2, 0, 1, 0, 1, 1)"
