game_n,winner,turn_outcome
0,1,"(1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 2, 0, 1, 1, 1, 0, 2, 0, 0, 1, 1, 0, 1, 1)"
1,0,"(1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 2, 0, 1, 1, 1, 2, 1, 1, 0, 2, 2, 1, 0, 1, 2, 1, 2, 1)"
2,1,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 0, 0, 2, 1, 1, 0, 1, 2, 0, 2, 2, 1, 0, 1)"
3,1,"(1, 1, 2, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 2, 1, 1, 0, 1, 1, 1, 0, 2, 0, 1, 0, 0, 0, 0, 2, 0, 2, 2, 0, 1)"
4,1,"(1, 1, 1, 0, 0, 1, 1, 1, 0, 2, 1, 1, 0, 1, 1, 1, 1, 1, 2, 1, 0, 0, 0, 0, 1, 1)"
5,1,"(1, 0, 1, 1, 1, 0, 1, 1, 2, 1, 0, 1, 1, 1, 1, 2, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1)"
6,1,"(0, 1, 0, 1, 1, 1, 2, 1, 0, 1, 0, 1, 1, 2, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 2, 1)"
7,0,"(1, 1, 1, 2, 2, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 2, 2, 0, 0, 1)"
8,1,"(0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 2, 0, 1, 1, 2, 1, 2, 1)"
9,1,"(1, 1, 1, 1, 1, 2, 2, 1, 0, 1, 1, 1, 2, 1, 0, 1, 0, 1, 2, 0, 1, 1, 1, 0, 1)"
10,0,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 2, 0, 0, 1, 0, 1, 0, 1, 2, 0, 1, 0, 2, 1)"
11,0,"(0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 2, 1, 1, 1, 1, 1, 0, 0, 2, 0, 1, 1, 0, 1, 1)"
12,0,"(1, 1, 2, 0, 1, 0, 1, 2, 1, 1, 1, 1, 2, 2, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1)"
13,0,"(0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 2, 1, 1)"
14,1,"(1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 2, 1, 0, 1, 1, 0, 1, 2, 0, 1, 2, 2, 2, 0, 0, 1)"
15,0,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 2, 2, 0, 2, 1, 2, 0, 0, 2, 2, 1, 1)"
16,1,"(1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 2, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 1, 2, 0, 1, 0, 1, 1)"
17,0,"(1, 0, 1, 2, 2, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 2, 0, 0, 1, 1, 1, 0, 0, 1, 1, 2, 0, 1)"
18,1,"(1, 1, 1, 1, 2, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1)"
19,0,"(1, 2, 0, 1, 0, 1, 2, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 2, 0, 1, 2, 1, 0, 0, 1)"
20,0,"(1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1)"
21,0,"(0, 1, 0, 1, 1, 1, 2, 2, 0, 0, 2, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 2, 0, 0, 1)"
22,0,"(1, 1, 0, 1, 2, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 2, 0, 0, 1, 0, 1, 1, 1)"
23,1,"(1, 1, 2, 1, 2, 2, 1, 2, 0, 1, 0, 1, 1, 1, 0, 1, 2, 1, 2, 1, 1, 0, 1, 1, 1, 1)"
24,1,"(1, 1, 1, 0, 0, 2, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1)"
25,0,"(1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 2, 2, 0, 1, 1, 0, 2, 1, 2, 1, 1)"
26,0,"(0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 2, 1, 1, 2, 0, 2, 0, 0, 2, 1, 1, 1)"
27,1,"(0, 1, 0, 1, 1, 0, 2, 1, 1, 1, 0, 2, 0, 1, 1, 0, 1, 1, 0, 1, 2, 1, 0, 1, 1, 1, 1)"
28,1,"(0, 1, 1, 2, 0, 0, 2, 1, 1, 2, 2, 2, 1, 1, 1, 2, 0, 1, 1, 1, 0, 0, 1, 1, 0, 2, 1, 1, 1, 2, 1)"
29,1,"(1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 2, 2, 0, 1, 1, 1, 0, 1, 1)"
30,1,"(1, 1, 2, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 2, 1, 0, 1, 0, 2, 0, 1, 0, 1, 0, 1)"
