game_n,winner,turn_outcome
0,0,"(0, 1, 2, 1, 0, 0, 1, 1, 2, 1, 1, 2, 2, 2, 0, 0, 1, 1, 2, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1)"
1,1,"(1, 1, 1, 2, 0, 1, 0, 1, 1, 2, 0, 1, 1, 2, 2, 1, 0, 1, 2, 2, 1, 2, 1, 1, 0, 2, 0, 1, 1, 2, 0, 2, 0, 0, 2, 0, 0, 0, 1)"
2,2,"(1, 2, 1, 0, 1, 1, 1, 1, 2, 0, 1, 1, 1, 2, 1, 0, 1, 2, 0, 0, 2, 0, 0, 0, 1, 1, 2, 1, 1, 0, 0, 0, 1)"
3,0,"(1, 2, 0, 0, 1, 1, 2, 1, 1, 2, 0, 1, 2, 0, 1, 2, 1, 0, 1, 1, 2, 2, 1, 1, 2, 1, 1, 2, 0, 0, 0, 1, 1)"
4,2,"(1, 1, 1, 2, 1, 2, 0, 0, 2, 1, 2, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 2, 2, 2, 1, 1, 2, 1, 1)"
5,,"(0, 0, 1, 1, 0, 2, 1, 1, 0, 0, 2, 0, 1, 0, 0, 1, 1, 1, 0, 2, 2, 2, 1, 0, 2, 1, 1, 2, 2, 1, 2, 2, 0, 1, 1, 1, 2, 0, 1)"
6,1,"(1, 1, 2, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 2, 0, 1, 1, 2, 0, 0, 0, 1, 1, 2, 0, 1, 1, 2, 1, 2, 0, 1)"
7,2,"(1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 2, 0, 0, 1, 1, 1, 0, 1)"
8,,"(1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 0, 2, 2, 0, 2, 0, 1, 2, 1, 0, 2, 0, 1, 0, 1, 2, 1, 0, 1, 0, 2, 1)"
9,,"(1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 2, 2, 1, 0, 1, 1, 2, 2, 0, 1, 2, 2, 2, 0, 0, 2, 2, 2, 1, 2, 2, 2, 0, 1)"
10,2,"(1, 0, 2, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 2, 1, 0, 1, 1, 1, 1, 1)"
11,0,"(1, 0, 2, 1, 0, 1, 2, 0, 1, 0, 2, 1, 2, 0, 1, 1, 2, 2, 0, 0, 1, 1, 0, 2, 0, 1, 0, 1, 2, 0, 2, 2, 0, 1, 0, 1, 2, 1, 0, 0, 2, 2, 2, 0, 1, 1)"
12,1,"(1, 2, 0, 1, 1, 0, 1, 0, 2, 1, 0, 0, 1, 1, 2, 0, 1, 2, 1, 1, 0, 0, 2, 0, 2, 0, 0, 1, 1, 2, 0, 1, 2, 1, 2, 0, 1, 1)"
13,1,"(0, 0, 1, 1, 0, 1, 2, 1, 0, 0, 1, 1, 2, 1, 1, 1, 0, 1, 1, 1, 2, 1, 1, 0, 2, 1, 2, 0, 2, 0, 1)"
14,1,"(1, 0, 0, 1, 0, 1, 2, 2, 0, 1, 2, 2, 2, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 2, 1, 0, 1, 2, 1, 0, 2, 1, 1, 1)"
15,1,"(0, 1, 0, 2, 1, 2, 2, 1, 2, 0, 0, 1, 0, 1, 1, 1, 2, 0, 1, 0, 0, 1, 2, 2, 0, 1, 0, 0, 1, 2, 1, 2, 2, 0, 0, 1, 1, 2, 0, 1, 2, 1)"
16,0,"(1, 0, 1, 0, 1, 1, 0, 1, 1, 2, 0, 0, 2, 0, 1, 2, 1, 0, 0, 2, 0, 1, 0, 0, 1, 1, 1, 2, 0, 1, 2, 0, 0, 1, 1, 1)"
17,0,"(1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 2, 0, 2, 0, 0, 1, 2, 0, 1, 1, 1, 1, 0, 1, 2, 1, 0, 0, 1, 2, 1, 2, 1)"
18,2,"(1, 2, 1, 1, 2, 2, 0, 2, 1, 2, 0, 2, 2, 2, 1, 0, 1, 1, 1, 2, 0, 1, 0, 2, 2, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 2, 1)"
19,1,"(1, 1, 1, 0, 2, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 2, 0, 1, 1, 1, 0, 1, 1, 2, 2, 0, 0, 1)"
20,1,"(1, 0, 1, 1, 1, 2, 0, 1, 1, 0, 1, 0, 1, 2, 1, 0, 0, 0, 0, 1, 1, 2, 0, 0, 1, 2, 1, 1, 1, 1)"
21,0,"(0, 1, 0, 0, 0, 1, 0, 2, 0, 0, 1, 1, 0, 1, 1, 2, 0, 0, 2, 1, 1, 2, 0, 1, 1, 0, 1, 2, 1, 0, 0, 1, 2, 2, 0, 0, 1, 2, 2, 1, 1)"
22,0,"(1, 0, 1, 0, 1, 1, 0, 0, 1, 2, 0, 0, 1, 2, 2, 2, 1, 0, 1, 0, 1, 1, 0, 0, 1, 2, 1, 1, 1, 2, 2, 1, 0, 0, 0, 1)"
23,1,"(0, 1, 1, 0, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 2, 0, 2, 0, 1, 0, 0, 1, 1, 1)"
24,1,"(1, 1, 1, 1, 0, 1, 1, 2, 0, 1, 2, 2, 1, 1, 1, 1, 2, 1, 0, 2, 0, 1, 1, 1, 1)"
25,0,"(1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 2, 0, 0, 1, 2, 2, 0, 0, 1, 2, 1)"
26,2,"(1, 2, 2, 0, 1, 1, 1, 0, 2, 1, 1, 2, 2, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 2, 1)"
27,1,"(1, 1, 0, 0, 1, 1, 2, 2, 2, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 2, 1, 0, 0, 1, 1, 1)"
28,1,"(1, 1, 1, 2, 1, 1, 1, 1, 0, 2, 1, 1, 1, 1, 1, 0, 1, 1, 2, 0, 2, 1, 0, 0, 0, 2, 1)"
29,2,"(1, 0, 1, 1, 2, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 2, 0, 1, 2, 0, 2, 0, 0, 0, 0, 2, 1, 2, 0, 0, 2, 0, 1, 1)"
30,0,"(0, 0, 1, 2, 0, 1, 1, 2, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 2, 1, 0, 0, 1, 1, 1, 2, 1, 2, 2, 1, 2, 0, 2, 2, 2, 1, 2, 0, 0, 2, 2, 0, 2, 1)"
31,2,"(1, 1, 1, 2, 1, 1, 0, 2, 1, 1, 0, 1, 1, 2, 1, 2, 0, 1, 1, 1, 1, 0, 0, 0, 0, 2, 2, 1, 1)"
32,1,"(1, 2, 1, 2, 1, 2, 0, 1, 1, 2, 2, 0, 1, 1, 1, 1, 0, 0, 1, 2, 1, 0, 1, 1, 0, 2, 1, 2, 2, 2, 1, 2, 0, 1)"
33,1,"(1, 1, 2, 0, 1, 1, 0, 1, 0, 1, 2, 1, 2, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1)"
34,0,"(1, 2, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 2, 1, 0, 2, 1, 2, 0, 0, 1, 0, 0, 1, 1, 1)"
35,0,"(0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 2, 2, 2, 2, 1, 0, 1, 0, 0, 0, 0, 1)"
36,0,"(0, 1, 2, 1, 2, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 2, 0, 0, 0, 2, 2, 1, 0, 0, 1, 0, 1, 0, 2, 1, 1, 1)"
37,0,"(1, 0, 0, 0, 1, 2, 0, 2, 0, 0, 1, 0, 1, 0, 1, 2, 0, 1, 2, 0, 1, 1, 0, 0, 1, 2, 0, 1, 2, 2, 0, 0, 2, 1, 0, 1, 1, 0, 1, 0, 1, 2, 1)"
38,1,"(1, 1, 1, 1, 0, 0, 1, 1, 1, 2, 0, 1, 0, 1, 0, 1, 1, 1, 0, 2, 0, 0, 0, 0, 1, 1, 2, 2, 1, 1)"
39,0,"(0, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 0, 2, 0, 2, 2, 1, 1, 2, 1, 0, 1, 0, 1, 1, 0, 1, 1, 2, 0, 2, 2, 0, 0, 2, 0, 1)"
40,1,"(1, 1, 2, 1, 1, 0, 1, 2, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1)"
41,1,"(1, 0, 1, 2, 2, 0, 1, 0, 1, 0, 2, 1, 1, 1, 2, 1, 2, 1, 1, 0, 2, 2, 2, 2, 0, 2, 2, 2, 0, 1, 1, 1, 0, 2, 2, 2, 2, 1, 1, 2, 1)"
42,1,"(1, 1, 2, 2, 2, 1, 1, 1, 2, 2, 0, 1, 0, 1, 0, 2, 1, 1, 0, 1, 0, 0, 0, 0, 1, 2, 2, 2, 1, 0, 0, 1, 1, 1, 1)"
43,1,"(1, 0, 1, 1, 1, 1, 1, 2, 1, 0, 1, 0, 1, 1, 2, 0, 2, 0, 1, 0, 2, 1, 1, 2, 0, 2, 0, 1, 2, 0, 0, 1, 0, 2, 2, 1)"
44,1,"(1, 2, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 2, 2, 0, 2, 0, 2, 1, 1, 1, 1, 2, 1, 0, 0, 0, 0, 2, 1)"
45,,"(1, 2, 1, 1, 2, 0, 2, 1, 1, 0, 0, 1, 1, 0, 1, 1, 2, 0, 0, 0, 2, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1)"
46,2,"(1, 1, 1, 1, 1, 2, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 2, 1, 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 0, 1)"
47,0,"(0, 1, 1, 0, 1, 2, 2, 1, 1, 2, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 2, 1, 2, 0, 2, 1, 1, 2, 0, 0, 2, 1, 2, 2, 2, 1, 2, 1)"
48,2,"(1, 2, 1, 1, 1, 1, 1, 0, 2, 1, 1, 1, 2, 0, 1, 1, 2, 2, 2, 2, 1, 0, 0, 1, 0, 1, 1, 2, 0, 0, 1)"
49,1,"(0, 1, 0, 1, 1, 1, 2, 0, 0, 1, 1, 1, 1, 2, 2, 1, 2, 1, 0, 1, 1, 2, 2, 1, 1, 2, 0, 2, 1, 0, 0, 1)"
50,0,"(1, 0, 1, 1, 0, 1, 1, 0, 1, 2, 1, 2, 2, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1)"
51,0,"(1, 1, 0, 1, 1, 1, 2, 1, 1, 1, 0, 1, 1, 1, 2, 2, 0, 1, 2, 0, 0, 0, 0, 2, 1, 1, 1, 2, 0, 0, 1)"
52,1,"(0, 1, 1, 1, 2, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 2, 1, 2, 1, 2, 1, 2, 0, 1)"
53,0,"(1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 2, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1)"
54,1,"(0, 1, 1, 1, 2, 1, 0, 1, 2, 2, 2, 1, 1, 2, 2, 1, 2, 1, 2, 1, 0, 1, 2, 2, 0, 1, 2, 0, 1, 0, 0, 2, 2, 1, 1, 2, 0, 2, 0, 1)"
55,2,"(1, 1, 0, 1, 2, 0, 0, 1, 1, 1, 0, 1, 1, 0, 2, 0, 0, 1, 1, 1, 1, 2, 1, 1, 0, 0, 0, 1, 0, 1)"
56,0,"(0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 0, 0, 0, 1, 1, 1, 1)"
57,1,"(1, 2, 2, 2, 1, 2, 1, 1, 2, 0, 1, 1, 1, 2, 1, 0, 0, 1, 2, 1, 1, 2, 0, 1, 0, 2, 1, 0, 1, 0, 0, 2, 1, 1)"
58,1,"(1, 0, 1, 1, 2, 2, 1, 2, 1, 1, 1, 2, 0, 1, 0, 0, 1, 0, 0, 1, 1, 2, 1, 1, 0, 2, 1, 2, 1, 0, 0, 1)"
59,0,"(1, 1, 1, 1, 2, 0, 1, 0, 1, 2, 1, 2, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 2, 2, 2, 0, 1, 2, 1, 1)"
60,2,"(1, 1, 1, 2, 1, 0, 1, 1, 2, 0, 1, 1, 2, 0, 2, 2, 2, 1, 1, 0, 1, 1, 0, 2, 1, 2, 2, 2, 1, 0, 0, 0, 2, 0, 2, 2, 1, 0, 2, 1)"
61,2,"(1, 0, 1, 2, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 2, 0, 1, 1, 0, 0, 0, 2, 1, 1, 1, 1)"
62,0,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 2, 0, 2, 2, 1, 2, 0, 2, 1, 0, 1, 1, 2, 1, 2, 2, 0, 1, 0, 1, 0, 1, 1, 1)"
63,2,"(0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 2, 0, 2, 0, 1, 1, 2, 1, 1, 0, 2, 1, 0, 0, 0, 1, 0, 1)"
64,1,"(0, 1, 1, 1, 2, 1, 1, 2, 0, 1, 1, 1, 2, 1, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0, 1, 2, 1, 1, 0, 1, 2, 2, 2, 1, 2, 1, 0, 2, 0, 2, 1)"
65,1,"(1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 0, 0, 1, 1, 1, 2, 2, 0, 0, 0, 2, 0, 0, 0, 0, 2, 2, 0, 0, 1)"
66,2,"(0, 1, 1, 1, 2, 2, 1, 2, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 2, 0, 0, 2, 0, 1, 1)"
67,0,"(1, 2, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 2, 2, 2, 0, 1, 2, 1, 1, 1)"
