game_n,winner,turn_outcome
0,,"(1, 1, 1, 1, 2, 2, 2, 1, 0, 0, 2, 2, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 2, 0, 1, 1, 1, 2, 2, 2, 0, 2, 0, 0, 1, 2, 2, 1, 2, 2, 2, 0, 0, 0, 1, 1, 2, 2, 2, 2, 0, 0, 2, 1, 2, 2, 2, 1)"
1,4,"(1, 2, 2, 0, 1, 1, 1, 2, 2, 1, 2, 2, 0, 2, 2, 2, 2, 0, 2, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 1, 2, 0, 1, 1, 2, 0, 0, 2, 0, 0, 2, 1, 2, 1, 2, 0, 2, 0, 2, 0, 0, 0, 1, 2, 1, 2, 2, 1, 2, 2, 0, 2, 1)"
2,6,"(1, 2, 0, 1, 1, 1, 1, 2, 1, 1, 1, 0, 2, 2, 0, 1, 2, 2, 1, 0, 2, 0, 2, 0, 0, 2, 2, 1, 2, 2, 0, 1, 2, 1, 2, 0, 1, 0, 2, 1, 2, 0, 0, 0, 2, 1)"
3,5,"(1, 1, 1, 0, 1, 1, 2, 0, 0, 2, 1, 2, 1, 2, 2, 2, 0, 0, 0, 2, 0, 1, 0, 0, 2, 0, 2, 1, 0, 1, 0, 2, 2, 1, 1, 0, 2, 2, 0, 2, 2, 1, 0, 1, 0, 1, 0, 1)"
4,1,"(1, 2, 1, 1, 0, 2, 1, 1, 2, 2, 0, 0, 1, 2, 1, 2, 2, 1, 1, 0, 2, 1, 2, 2, 0, 0, 2, 0, 1, 2, 1, 1, 2, 0, 2, 0, 1, 2, 2, 2, 0, 1, 2, 2, 0, 0, 2, 2, 2, 0, 2, 2, 0, 0, 2, 0, 2, 1)"
5,4,"(1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 2, 2, 1, 1, 0, 0, 0, 1, 2, 2, 1, 1, 2, 0, 2, 0, 0, 1, 2, 0, 0, 1, 0, 2, 0, 1, 0, 2, 2, 2, 2, 1, 2, 2, 0, 2, 2, 2, 1)"
6,6,"(1, 0, 1, 0, 1, 1, 1, 2, 0, 0, 1, 1, 2, 2, 1, 1, 2, 2, 1, 2, 2, 1, 2, 2, 0, 1, 2, 0, 0, 0, 1, 2, 0, 2, 2, 2, 2, 2, 2, 0, 1, 2, 1, 2, 0, 0, 0, 1)"
7,,"(0, 0, 0, 1, 1, 0, 1, 2, 2, 2, 1, 0, 0, 2, 0, 2, 1, 0, 2, 1, 2, 2, 0, 1, 0, 1, 2, 2, 1, 0, 0, 2, 2, 0, 0, 0, 1, 1, 2, 0, 1, 1, 2, 0, 1, 0, 2, 2, 2, 2, 1, 2, 2, 2, 2, 0, 0, 0, 2, 0, 2, 2, 1)"
8,5,"(0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 2, 1, 0, 1, 1, 2, 2, 1, 2, 2, 1, 0, 2, 1, 0, 1, 2, 1, 2, 2, 0, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1)"
9,1,"(1, 1, 0, 1, 2, 0, 2, 1, 2, 1, 2, 1, 1, 0, 2, 1, 0, 1, 2, 1, 0, 0, 1, 0, 1, 2, 1, 1, 0, 2, 0, 0, 2, 2, 2, 0, 1, 0, 2, 2, 0, 0, 2, 2, 1)"
10,3,"(0, 0, 1, 1, 1, 2, 1, 2, 0, 2, 1, 1, 2, 2, 0, 2, 2, 2, 2, 1, 2, 1, 1, 0, 2, 1, 2, 0, 2, 1, 2, 2, 2, 1, 0, 1, 0, 0, 1, 0, 1, 2, 2, 0, 0, 1)"
11,0,"(1, 1, 1, 0, 0, 1, 2, 1, 1, 1, 0, 2, 0, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 0, 1, 0, 0, 0, 0, 2, 1, 0, 0, 0, 2, 2, 1, 2, 0, 1)"
12,4,"(1, 1, 0, 2, 2, 1, 1, 0, 2, 1, 1, 0, 2, 1, 0, 2, 1, 1, 2, 0, 2, 2, 0, 2, 0, 2, 0, 2, 0, 0, 0, 0, 2, 1, 1, 1, 0, 0, 0, 2, 1, 1, 0, 1, 1)"
13,,"(1, 0, 1, 1, 1, 0, 2, 0, 0, 0, 2, 2, 0, 0, 1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 0, 0, 2, 2, 1, 2, 2, 0, 2, 0, 0, 1, 2, 0, 0, 1, 0, 1, 2, 2, 2, 1)"
14,5,"(0, 1, 1, 0, 1, 1, 2, 2, 2, 2, 1, 0, 0, 2, 0, 1, 2, 1, 2, 2, 2, 2, 1, 2, 2, 2, 2, 0, 0, 0, 2, 0, 1, 0, 2, 1, 0, 1, 2, 2, 1, 2, 1, 2, 2, 0, 0, 1, 2, 2, 2, 2, 2, 0, 2, 1, 2, 1)"
15,1,"(1, 0, 1, 1, 0, 1, 2, 0, 1, 1, 1, 2, 2, 0, 1, 1, 1, 2, 0, 0, 1, 0, 1, 0, 0, 1, 1, 2, 0, 1, 1)"
16,,"(1, 1, 0, 0, 1, 2, 1, 2, 0, 2, 2, 0, 2, 1, 1, 0, 0, 1, 1, 2, 2, 2, 0, 1, 0, 2, 2, 0, 0, 2, 0, 1, 2, 2, 0, 1, 0, 2, 1, 2, 0, 2, 0, 2, 1, 2, 2, 0, 1, 0, 2, 2, 0, 2, 1, 2, 1)"
17,2,"(0, 1, 0, 1, 0, 1, 2, 2, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 2, 0, 0, 1, 2, 1, 2, 1, 2, 2, 0, 0, 1, 2, 0, 1, 2, 2, 2, 2, 2, 0, 2, 2, 2, 1, 0, 2, 2, 2, 0, 2, 2, 1)"
18,4,"(0, 0, 1, 2, 1, 1, 0, 2, 1, 2, 2, 1, 2, 1, 1, 2, 1, 0, 1, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 2, 0, 0, 2, 1, 0, 0, 0, 1, 1, 0, 2, 2, 2, 2, 1)"
19,,"(1, 0, 0, 2, 1, 0, 1, 1, 1, 0, 2, 2, 2, 0, 0, 0, 0, 1, 0, 1, 2, 1, 0, 2, 2, 0, 0, 1, 0, 0, 0, 1, 1, 2, 2, 0, 2, 0, 0, 2, 2, 1, 2, 0, 1, 1, 2, 2, 1, 1)"
20,6,"(0, 1, 2, 1, 1, 2, 0, 2, 2, 2, 2, 2, 1, 2, 0, 1, 0, 0, 2, 1, 0, 1, 2, 1, 1, 0, 2, 2, 1, 1, 1, 2, 2, 2, 0, 2, 2, 2, 0, 0, 0, 2, 0, 2, 0, 1, 2, 2, 1, 0, 0, 2, 0, 0, 1, 2, 0, 0, 0, 2, 2, 0, 2, 1)"
21,4,"(1, 1, 0, 1, 2, 0, 0, 1, 2, 2, 1, 2, 0, 0, 1, 0, 2, 1, 0, 2, 1, 2, 0, 1, 2, 1, 0, 2, 2, 0, 1, 2, 2, 2, 2, 0, 2, 2, 2, 2, 0, 2, 2, 2, 0, 0, 2, 2, 1, 2, 2, 2, 2, 2, 0, 0, 0, 1, 0, 0, 1, 1, 2, 2, 1)"
22,1,"(1, 0, 0, 1, 2, 1, 1, 2, 1, 0, 0, 1, 0, 1, 2, 2, 2, 0, 0, 1, 2, 2, 2, 0, 2, 2, 2, 0, 0, 0, 2, 0, 1, 2, 0, 0, 1, 1, 2, 1, 1, 1, 1, 1)"
23,3,"(1, 1, 1, 1, 0, 0, 1, 0, 0, 2, 2, 2, 1, 1, 2, 2, 0, 1, 1, 0, 1, 2, 2, 1, 2, 0, 2, 2, 1, 1, 0, 1, 0, 0, 1, 0, 1)"
24,4,"(0, 1, 0, 2, 2, 1, 2, 2, 0, 1, 2, 2, 1, 0, 2, 0, 0, 1, 2, 0, 0, 1, 1, 2, 1, 2, 0, 2, 1, 1, 2, 2, 1, 2, 1, 2, 1, 0, 0, 2, 0, 1, 0, 2, 2, 2, 2, 0, 0, 2, 0, 2, 0, 0, 1, 1)"
25,2,"(1, 1, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 2, 2, 1, 0, 1, 1, 0, 2, 2, 1, 1, 2, 1, 2, 2, 1, 2, 2, 1, 2, 2, 2, 0, 1, 2, 0, 2, 0, 0, 2, 0, 1, 0, 1, 0, 0, 1)"
26,4,"(1, 2, 1, 1, 2, 2, 1, 2, 2, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 2, 1, 0, 0, 0, 2, 2, 1, 0, 1, 2, 1, 0, 0, 2, 1, 2, 0, 2, 2, 2, 0, 2, 0, 0, 1, 1)"
27,5,"(0, 1, 1, 2, 2, 1, 0, 2, 0, 0, 2, 1, 2, 0, 0, 2, 1, 0, 1, 1, 2, 0, 0, 0, 1, 2, 1, 1, 2, 1, 2, 0, 1, 2, 2, 1, 2, 1, 1, 2, 0, 0, 0, 2, 0, 0, 0, 2, 2, 1)"
28,2,"(1, 0, 0, 0, 1, 1, 0, 2, 2, 0, 1, 2, 1, 1, 2, 2, 1, 0, 0, 1, 1, 2, 1, 2, 1, 0, 0, 2, 0, 0, 1, 0, 0, 1, 2, 2, 2, 1, 2, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 2, 2, 2, 1)"
29,3,"(1, 1, 0, 0, 2, 2, 0, 1, 1, 2, 1, 1, 0, 2, 0, 2, 2, 1, 1, 0, 1, 2, 2, 1, 2, 1, 2, 0, 0, 0, 2, 1, 1, 0, 2, 2, 1, 0, 0, 0, 2, 1, 2, 1)"
30,6,"(1, 1, 1, 2, 1, 2, 1, 0, 2, 1, 2, 1, 1, 0, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 0, 2, 1, 0, 1, 0, 0, 0, 2, 2, 0, 1, 1, 2, 2, 0, 2, 0, 1, 0, 0, 2, 2, 2, 0, 1)"
31,,"(1, 1, 2, 0, 2, 2, 0, 2, 1, 1, 2, 0, 0, 1, 0, 1, 2, 2, 0, 1, 2, 2, 0, 1, 2, 0, 0, 2, 1, 2, 1, 0, 2, 0, 2, 0, 2, 0, 0, 2, 2, 0, 0, 0, 2, 1, 1, 1, 0, 2, 2, 0, 1, 0, 1, 2, 2, 0, 1)"
32,0,"(1, 1, 2, 0, 1, 1, 0, 1, 1, 0, 1, 2, 1, 0, 0, 0, 0, 1, 2, 1, 2, 2, 2, 0, 1, 2, 2, 0, 1, 2, 2, 2, 2, 1, 0, 0, 1, 0, 2, 0, 2, 2, 2, 0, 0, 2, 0, 0, 0, 2, 0, 0, 2, 0, 1, 2, 2, 2, 0, 0, 0, 2, 2, 0, 0, 1)"
33,3,"(1, 1, 2, 1, 1, 2, 0, 1, 1, 2, 0, 0, 2, 0, 0, 2, 0, 2, 2, 0, 2, 2, 0, 1, 1, 2, 2, 2, 2, 0, 2, 2, 1, 0, 0, 0, 1, 0, 2, 1, 1, 2, 1, 2, 0, 2, 0, 2, 0, 2, 0, 2, 1, 2, 0, 1, 1)"
34,,"(0, 1, 1, 1, 2, 0, 0, 1, 1, 2, 2, 2, 2, 2, 1, 1, 1, 2, 0, 0, 1, 1, 2, 2, 2, 1, 2, 1, 2, 2, 0, 0, 1, 0, 0, 0, 0, 2, 2, 0, 0, 1, 0, 1, 0, 0, 2, 0, 0, 2, 1)"
35,1,"(1, 2, 0, 0, 0, 1, 0, 1, 2, 1, 1, 1, 1, 0, 1, 2, 2, 2, 0, 2, 1, 0, 2, 1, 0, 0, 0, 2, 2, 1, 1, 0, 1, 0, 2, 1, 2, 0, 1, 2, 0, 2, 0, 2, 2, 2, 0, 2, 2, 0, 2, 0, 0, 2, 1)"
36,,"(1, 0, 1, 1, 1, 2, 2, 1, 2, 2, 2, 2, 1, 2, 0, 0, 0, 1, 2, 2, 0, 0, 1, 0, 1, 2, 2, 2, 0, 0, 1, 2, 2, 1, 1, 2, 2, 2, 0, 1, 0, 2, 2, 2, 0, 2, 2, 0, 0, 1, 0, 1, 1)"
37,5,"(1, 2, 1, 0, 1, 1, 1, 2, 1, 0, 0, 2, 1, 1, 0, 2, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 2, 0, 0, 1, 2, 0, 2, 2, 2, 2, 2, 0, 2, 0, 2, 2, 2, 2, 1)"
38,4,"(1, 1, 1, 1, 2, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 2, 2, 0, 1, 1, 0, 0, 0, 2, 1, 1, 2, 1, 0, 1)"
39,5,"(1, 2, 1, 2, 1, 1, 1, 2, 1, 2, 1, 2, 2, 2, 0, 1, 0, 1, 0, 2, 2, 2, 0, 1, 1, 2, 2, 0, 2, 0, 1, 0, 0, 2, 1, 2, 1, 0, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1)"
40,3,"(1, 1, 0, 1, 0, 1, 1, 2, 1, 2, 2, 0, 2, 2, 2, 2, 2, 1, 2, 2, 2, 0, 0, 2, 1, 2, 0, 0, 1, 2, 0, 0, 0, 1, 2, 0, 2, 1, 1, 2, 0, 1, 0, 0, 2, 2, 0, 0, 0, 1, 0, 1, 1)"
41,6,"(1, 1, 0, 2, 0, 0, 0, 1, 1, 2, 1, 1, 0, 0, 2, 2, 0, 1, 1, 2, 2, 0, 1, 1, 2, 1, 2, 1, 2, 2, 1, 0, 2, 2, 2, 2, 2, 0, 2, 1, 2, 2, 2, 2, 0, 0, 2, 0, 2, 1, 0, 0, 2, 2, 2, 0, 0, 0, 2, 2, 0, 2, 2, 0, 0, 2, 2, 2, 0, 2, 2, 2, 2, 0, 0, 1)"
42,0,"(1, 1, 1, 1, 2, 1, 0, 1, 2, 2, 0, 1, 1, 1, 1, 1, 0, 2, 2, 0, 1, 2, 0, 2, 0, 1, 1, 1, 2, 2, 0, 1)"
43,2,"(1, 1, 0, 1, 0, 1, 1, 0, 2, 0, 1, 1, 0, 1, 0, 1, 0, 2, 0, 1, 0, 2, 1, 0, 2, 2, 0, 0, 1, 0, 1, 0, 1, 0, 2, 2, 2, 2, 0, 0, 2, 2, 2, 1, 2, 0, 0, 2, 2, 2, 1)"
44,,"(1, 1, 0, 0, 2, 2, 2, 1, 1, 1, 1, 1, 0, 2, 1, 2, 2, 2, 2, 2, 2, 0, 0, 2, 2, 2, 2, 2, 2, 0, 1, 2, 1, 1, 1, 1, 0, 0, 0, 0, 1, 2, 1, 2, 1)"
