game_n,winner,turn_outcome
0,2,"(1, 1, 1, 1, 0, 2, 0, 0, 2, 0, 1, 0, 0, 1, 1, 2, 1, 1, 0, 2, 2, 2, 1, 1, 0, 1, 2, 0, 0, 2, 0, 2, 2, 2, 2, 0, 1, 2, 0, 0, 2, 0, 0, 1, 2, 2, 0, 0, 0, 0, 1, 0, 0, 1)"
1,4,"(1, 1, 0, 2, 2, 1, 2, 0, 0, 1, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 2, 2, 0, 1, 2, 2, 2, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 2, 0, 2, 2, 2, 2, 2, 1, 0, 2, 0, 2, 0, 0, 2, 2, 0, 2, 1)"
2,5,"(1, 2, 1, 0, 2, 0, 0, 0, 1, 2, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 2, 2, 2, 1, 2, 0, 0, 1, 1, 1, 2, 2, 1, 2, 0, 1, 1, 1)"
3,0,"(1, 1, 1, 0, 1, 0, 1, 1, 2, 2, 0, 1, 1, 2, 1, 2, 0, 0, 2, 0, 1, 2, 2, 2, 2, 2, 1, 1, 0, 0, 1, 2, 2, 0, 2, 0, 2, 0, 0, 2, 1, 2, 1, 2, 1)"
4,4,"(1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 2, 1, 1, 0, 1, 1, 0, 1, 2, 0, 2, 1, 0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 1)"
5,0,"(1, 1, 1, 2, 1, 0, 1, 1, 0, 2, 2, 1, 2, 2, 0, 0, 1, 2, 2, 0, 2, 1, 1, 0, 0, 2, 2, 1, 0, 1, 2, 0, 1, 1, 0, 2, 2, 2, 0, 1, 1)"
6,1,"(1, 1, 0, 0, 0, 1, 1, 1, 2, 1, 2, 2, 0, 0, 2, 0, 2, 2, 0, 2, 1, 1, 0, 0, 0, 2, 0, 1, 1, 0, 0, 2, 1, 1, 1, 2, 2, 2, 2, 0, 0, 1, 1, 2, 2, 0, 1)"
7,,"(1, 0, 0, 1, 0, 1, 1, 2, 1, 1, 1, 0, 0, 2, 1, 1, 0, 0, 2, 1, 2, 0, 0, 1, 2, 0, 2, 2, 0, 1, 1, 1, 1, 0, 0, 2, 0, 1)"
8,3,"(1, 1, 0, 1, 1, 1, 2, 2, 0, 1, 0, 0, 2, 1, 1, 2, 2, 2, 2, 2, 0, 0, 1, 0, 2, 1, 2, 1, 2, 0, 0, 0, 2, 1, 2, 2, 0, 2, 0, 2, 2, 2, 0, 1, 2, 2, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 0, 2, 2, 1)"
9,1,"(1, 1, 0, 0, 1, 1, 0, 1, 2, 1, 2, 1, 0, 1, 0, 0, 1, 1, 2, 2, 0, 1, 0, 0, 0, 2, 1, 2, 1, 0, 0, 0, 1, 0, 1, 2, 2, 2, 0, 0, 2, 2, 1)"
10,0,"(1, 1, 0, 1, 1, 1, 1, 0, 2, 1, 0, 2, 2, 0, 2, 0, 2, 1, 1, 0, 0, 0, 1, 0, 2, 2, 1, 2, 0, 0, 0, 1, 1, 2, 1, 0, 2, 1, 0, 2, 2, 0, 1)"
11,0,"(1, 1, 1, 2, 1, 0, 0, 1, 2, 0, 2, 0, 0, 0, 1, 2, 1, 2, 2, 2, 2, 1, 2, 2, 2, 0, 1, 2, 2, 0, 2, 1, 0, 2, 0, 2, 0, 2, 2, 1, 1, 2, 1, 2, 0, 0, 2, 0, 1, 0, 1, 2, 0, 0, 2, 2, 2, 2, 2, 0, 2, 2, 0, 0, 0, 2, 1)"
12,0,"(0, 1, 0, 0, 2, 0, 2, 1, 0, 0, 1, 2, 2, 1, 1, 1, 1, 0, 2, 0, 2, 2, 0, 2, 0, 2, 0, 0, 1, 0, 2, 0, 1, 2, 1, 1, 2, 1, 2, 0, 2, 0, 2, 2, 1, 2, 2, 2, 1, 0, 1, 0, 0, 1)"
13,4,"(1, 0, 2, 2, 1, 2, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 2, 2, 0, 0, 0, 1, 0, 1, 2, 2, 2, 2, 1, 0, 1, 2, 2, 0, 1, 0, 2, 2, 2, 1)"
14,1,"(1, 1, 0, 1, 1, 2, 1, 0, 1, 1, 1, 0, 2, 2, 1, 0, 1, 1, 0, 2, 1, 2, 0, 0, 2, 2, 0, 1, 0, 0, 1, 1, 1)"
