game_n,winner,turn_outcome
0,0,"(1, 0, 1, 1, 1, 1, 0, 0, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 0, 0, 1, 1)"
1,1,"(1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 2, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1)"
2,0,"(0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1)"
3,1,"(0, 1, 0, 1, 2, 2, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 2, 1, 2, 2, 0, 1, 0, 1, 1, 1, 2, 1)"
4,1,"(1, 0, 1, 1, 0, 1, 2, 1, 0, 2, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 2, 0, 1, 0, 0, 1)"
5,1,"(0, 1, 1, 1, 1, 1, 0, 2, 1, 2, 1, 1, 2, 2, 1, 1, 1, 0, 0, 1, 2, 0, 0, 2, 0, 1, 1, 2, 1, 0, 0, 1)"
6,0,"(0, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 0, 1, 0, 0, 1, 0, 0, 1)"
7,0,"(1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 2, 0, 0, 1, 1, 2, 0, 1, 0, 1, 1, 1)"
8,0,"(1, 1, 2, 1, 1, 2, 2, 1, 0, 0, 1, 1, 2, 1, 1, 1, 1, 1, 2, 0, 0, 0, 2, 0, 0, 1, 0, 1, 1, 0, 2, 2, 0, 1)"
9,0,"(1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 2, 2, 1, 0, 0, 0, 1, 1)"
10,0,"(0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1)"
11,0,"(1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 1, 1, 1, 1, 0, 2, 2, 0, 0, 2, 1)"
12,0,"(1, 1, 0, 1, 1, 1, 1, 2, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1)"
13,1,"(1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 2, 2, 2, 2, 1, 1, 0, 1, 0, 1)"
14,0,"(1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 2, 1, 2, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 2, 1, 0, 2, 1)"
15,0,"(1, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 2, 2, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1)"
16,0,"(1, 1, 2, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 2, 1, 1)"
17,1,"(1, 0, 1, 1, 0, 2, 1, 2, 1, 1, 1, 1, 0, 1, 0, 1, 2, 2, 1, 1, 1, 1, 1, 1)"
18,0,"(1, 2, 1, 1, 2, 1, 1, 1, 2, 0, 1, 2, 1, 1, 2, 1, 1, 2, 0, 0, 1, 1, 1, 0, 1, 1)"
19,0,"(1, 1, 1, 1, 2, 1, 2, 0, 1, 1, 0, 2, 0, 0, 2, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1)"
20,1,"(1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 2, 1, 1, 1, 2, 0, 2, 1, 1, 1, 1, 1, 0, 1, 1)"
21,1,"(1, 1, 1, 1, 0, 2, 0, 1, 2, 1, 1, 1, 0, 1, 0, 0, 1, 0, 2, 1, 1, 2, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1)"
22,0,"(1, 1, 2, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 2, 2, 1, 0, 1, 2, 1, 1, 2, 1, 0, 0, 1)"
23,1,"(1, 0, 1, 2, 2, 2, 0, 1, 1, 1, 1, 2, 2, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 2, 0, 0, 0, 0, 1)"
24,,"(1, 0, 1, 1, 0, 2, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 1, 2, 1)"
25,0,"(0, 1, 1, 2, 2, 1, 1, 0, 0, 0, 1, 0, 1, 1, 2, 1, 2, 1, 0, 1, 1, 1, 0, 0, 1, 1, 2, 0, 2, 1, 1)"
26,1,"(1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 2, 1, 2, 1, 2, 1, 1, 1, 1)"
27,0,"(1, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 2, 0, 1, 1, 1, 1)"
28,1,"(1, 2, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 2, 1, 1, 1, 1, 0, 2, 0, 1, 1, 1, 2, 1, 1, 1)"
29,1,"(1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 2, 1, 1, 1, 1, 1, 2, 0, 1, 0, 1, 0, 1, 1, 1)"
30,0,"(1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 2, 1, 1, 1, 0, 1, 1, 0, 1, 2, 1, 1, 1, 0, 1, 1)"
31,0,"(1, 2, 0, 1, 1, 2, 0, 1, 1, 0, 2, 1, 1, 0, 2, 1, 2, 0, 1, 1, 1, 2, 1, 0, 1, 1, 1, 0, 0, 1)"
32,1,"(1, 0, 1, 2, 0, 1, 1, 1, 1, 1, 2, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1)"
33,1,"(1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 2, 0, 1, 1, 1, 1, 1, 1, 1, 1)"
34,1,"(1, 1, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 0, 1, 1, 2, 0, 0, 1, 2, 0, 1, 2, 0, 1, 2, 1)"
35,0,"(1, 0, 0, 0, 1, 1, 2, 2, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 2, 0, 0, 1)"
36,0,"(1, 0, 0, 1, 1, 1, 1, 0, 2, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1)"
37,0,"(1, 1, 1, 1, 2, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 2, 0, 1, 0, 0, 0, 1, 2, 1)"
38,0,"(1, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 0, 0, 0, 1, 1, 2, 1, 0, 1, 1, 0, 1, 0, 1, 1)"
39,1,"(1, 1, 1, 1, 1, 0, 1, 1, 2, 0, 0, 1, 2, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 2, 1, 1)"
40,1,"(1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 1, 1, 2, 2, 0, 1, 0, 1, 1, 0, 2, 1, 1, 1)"
41,1,"(1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 2, 0, 1)"
