game_n,winner,turn_outcome
23,0,"(1, 1, 1, 0, 1, 1, 1, 0, 2, 0, 0, 2, 1, 2, 2, 2, 1, 2, 1, 2, 0, 0, 2, 0, 0, 2, 0, 0, 1, 1, 1, 0, 2, 0, 0, 0, 1, 1, 2, 1, 2, 1)"
24,,"(1, 0, 0, 1, 0, 1, 2, 0, 0, 2, 1, 2, 0, 2, 2, 1, 2, 0, 2, 2, 1, 0, 1, 0, 2, 2, 2, 2, 1, 1, 0, 2, 1, 2, 2, 2, 2, 0, 1, 0, 1, 1, 1, 2, 2, 2, 2, 0, 2, 0, 2, 2, 0, 0, 2, 2, 1, 2, 2, 1)"
25,,"(1, 1, 2, 0, 1, 0, 1, 1, 2, 0, 0, 1, 1, 2, 1, 2, 0, 0, 0, 2, 2, 1, 2, 2, 0, 1, 0, 1, 0, 1, 0, 2, 1, 2, 0, 0, 1, 1, 1)"
26,4,"(0, 1, 0, 1, 2, 0, 0, 1, 0, 0, 1, 2, 1, 1, 2, 1, 2, 2, 0, 0, 0, 2, 1, 2, 1, 1, 1, 0, 2, 2, 2, 2, 0, 0, 2, 2, 1, 1, 2, 2, 1, 2, 1, 0, 0, 0, 0, 2, 0, 2, 0, 2, 0, 0, 2, 2, 0, 2, 2, 2, 0, 1)"
27,4,"(0, 1, 0, 1, 1, 2, 2, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1, 2, 2, 2, 0, 1, 2, 2, 1, 0, 2, 2, 0, 2, 1, 0, 1)"
28,1,"(1, 1, 0, 0, 1, 1, 2, 2, 1, 2, 0, 0, 0, 2, 0, 1, 1, 0, 1, 2, 0, 1, 2, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 0, 0, 2, 2, 2, 0, 2, 1)"
29,0,"(1, 1, 0, 1, 1, 0, 2, 1, 1, 1, 2, 0, 2, 1, 2, 0, 0, 2, 0, 1, 2, 0, 2, 2, 2, 2, 0, 0, 1, 1, 2, 0, 1, 1, 2, 0, 2, 0, 2, 1, 0, 0, 1, 2, 0, 1)"
30,5,"(1, 2, 0, 0, 2, 1, 0, 2, 0, 2, 0, 0, 0, 1, 2, 1, 1, 1, 0, 2, 2, 0, 0, 1, 1, 2, 2, 2, 1, 1, 1, 0, 1, 1, 0, 0, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 0, 2, 2, 0, 0, 1)"
31,1,"(1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 2, 1, 0, 0, 1, 2, 2, 1, 2, 2, 1, 2, 2, 1, 0, 1, 2, 2, 1, 2, 0, 0, 2, 0, 0, 1, 1)"
32,4,"(1, 2, 2, 0, 1, 2, 2, 2, 1, 1, 1, 2, 2, 2, 1, 1, 2, 2, 2, 0, 0, 0, 1, 0, 1, 2, 2, 1, 1, 2, 0, 2, 1, 1, 2, 2, 1, 1, 1)"
33,3,"(1, 1, 2, 1, 2, 2, 2, 1, 0, 2, 0, 0, 2, 2, 2, 1, 0, 2, 1, 0, 1, 2, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 2, 0, 1, 2, 1, 2, 0, 0, 1, 0, 2, 0, 2, 1, 2, 0, 2, 2, 2, 2, 0, 0, 0, 0, 2, 2, 0, 0, 1, 0, 0, 1)"
34,1,"(1, 1, 0, 2, 1, 0, 0, 2, 1, 2, 2, 2, 1, 0, 0, 0, 1, 2, 0, 2, 2, 2, 0, 2, 2, 0, 0, 1, 0, 0, 0, 2, 2, 1, 2, 0, 2, 0, 0, 0, 0, 1, 1, 1, 0, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 0, 2, 2, 2, 1, 2, 2, 0, 1, 2, 2, 0, 2, 2, 2, 1)"
35,1,"(1, 0, 1, 2, 0, 2, 1, 0, 2, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 2, 1, 2, 1, 0, 0, 1, 0, 2, 1, 2, 2, 1, 2, 0, 0, 0, 1, 0, 0, 2, 0, 1)"
36,4,"(0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 2, 0, 0, 0, 1, 0, 1, 0, 2, 2, 1, 1, 1, 1, 2, 2, 0, 0, 2, 0, 2, 2, 2, 2, 1, 2, 0, 2, 0, 2, 2, 2, 1, 0, 1, 2, 2, 1)"
37,0,"(0, 1, 2, 1, 1, 0, 2, 0, 0, 1, 0, 1, 1, 2, 0, 0, 0, 1, 2, 2, 0, 2, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1)"
38,1,"(1, 1, 2, 2, 1, 0, 1, 0, 1, 1, 1, 0, 2, 2, 2, 0, 2, 0, 1, 1, 2, 1, 2, 2, 2, 2, 0, 1, 2, 2, 2, 2, 2, 2, 2, 0, 2, 0, 2, 1, 2, 1, 1, 2, 0, 0, 0, 2, 0, 2, 2, 0, 1, 1)"
39,3,"(1, 1, 1, 2, 1, 0, 0, 2, 0, 1, 1, 0, 1, 2, 2, 1, 2, 1, 2, 2, 0, 1, 0, 2, 0, 0, 1, 2, 1, 1, 2, 2, 0, 2, 0, 1, 1, 0, 2, 2, 1)"
40,0,"(1, 1, 1, 0, 1, 0, 2, 0, 0, 1, 0, 1, 2, 2, 1, 2, 2, 0, 2, 0, 1, 1, 0, 1, 2, 2, 0, 2, 2, 1, 0, 0, 2, 0, 1, 0, 1, 0, 0, 1, 1, 1)"
41,1,"(0, 1, 1, 0, 0, 1, 0, 2, 0, 1, 1, 1, 1, 2, 1, 2, 0, 0, 1, 1, 2, 0, 0, 0, 0, 1, 2, 2, 2, 1, 2, 2, 1, 0, 0, 0, 0, 2, 1, 1, 1)"
42,0,"(1, 1, 1, 2, 0, 0, 2, 0, 1, 0, 0, 0, 2, 2, 1, 0, 2, 0, 1, 1, 1, 2, 0, 1, 2, 0, 1, 2, 1, 0, 1, 2, 1, 2, 0, 1, 2, 0, 0, 0, 1, 2, 0, 0, 1)"
43,1,"(1, 2, 1, 1, 0, 1, 2, 1, 0, 1, 2, 2, 2, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, 1, 2, 0, 1, 2, 1, 2, 0, 1, 1, 0, 2, 0, 0, 0, 0, 2, 0, 2, 0, 1)"
44,1,"(1, 1, 2, 1, 2, 1, 0, 1, 0, 0, 1, 1, 2, 2, 0, 0, 1, 1, 2, 1, 0, 1, 0, 2, 0, 2, 0, 0, 0, 1, 0, 2, 1, 0, 0, 2, 1, 1, 2, 2, 0, 2, 2, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 0, 2, 1)"
45,1,"(1, 1, 1, 1, 2, 0, 0, 1, 2, 0, 2, 1, 1, 2, 2, 0, 0, 1, 0, 2, 2, 2, 1, 2, 1, 1, 0, 1, 2, 1, 2, 2, 2, 2, 0, 0, 2, 1, 1, 2, 0, 0, 0, 1)"
46,5,"(0, 0, 1, 1, 0, 1, 0, 1, 1, 2, 1, 0, 2, 2, 0, 1, 2, 1, 2, 0, 1, 1, 1, 2, 2, 0, 0, 2, 2, 2, 0, 2, 0, 2, 1, 2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 2, 0, 2, 1)"
47,,"(1, 0, 1, 0, 1, 1, 1, 1, 0, 2, 0, 0, 2, 1, 2, 2, 1, 2, 1, 1, 0, 2, 1, 2, 0, 0, 0, 1, 2, 0, 0, 2, 2, 1, 2, 2, 1, 0, 1, 0, 1)"
48,1,"(0, 1, 1, 0, 1, 1, 2, 2, 1, 2, 1, 2, 1, 0, 2, 1, 1, 0, 2, 1, 1, 0, 2, 2, 2, 1, 2, 0, 1, 2, 0, 1, 1, 2, 2, 2, 0, 2, 0, 2, 2, 2, 2, 1)"
49,5,"(0, 1, 1, 1, 1, 2, 0, 2, 0, 2, 1, 2, 2, 0, 0, 2, 2, 2, 2, 0, 0, 0, 2, 1, 1, 1, 2, 0, 0, 2, 0, 2, 2, 1, 1, 2, 2, 2, 1, 1, 2, 0, 2, 1, 0, 0, 2, 2, 0, 0, 2, 2, 1, 1, 2, 0, 0, 2, 1)"
50,3,"(1, 0, 2, 1, 2, 0, 1, 1, 0, 1, 2, 2, 1, 1, 2, 2, 0, 1, 2, 2, 1, 0, 0, 0, 0, 1, 0, 2, 1, 2, 1, 2, 0, 2, 0, 1, 0, 1, 0, 1, 1)"
51,4,"(1, 0, 1, 0, 1, 2, 2, 1, 0, 1, 1, 1, 1, 2, 0, 2, 0, 0, 1, 0, 0, 2, 2, 2, 1, 0, 2, 2, 2, 2, 2, 2, 0, 2, 1, 0, 2, 2, 2, 2, 1, 1, 0, 0, 1, 1, 2, 2, 2, 0, 2, 1)"
52,3,"(1, 1, 0, 2, 0, 0, 1, 1, 2, 2, 2, 0, 1, 1, 2, 0, 2, 2, 0, 2, 0, 0, 2, 2, 2, 0, 2, 1, 0, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 1, 2, 0, 2, 1, 0, 2, 2, 2, 0, 0, 2, 1, 2, 2, 2, 0, 2, 2, 2, 0, 0, 0, 2, 1, 0, 1)"
53,5,"(1, 1, 0, 2, 0, 0, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 0, 0, 2, 0, 2, 1, 2, 2, 0, 1, 0, 0, 2, 2, 2, 1, 1, 2, 2, 1, 2, 1, 0, 2, 0, 1, 1, 2, 1, 0, 2, 0, 2, 0, 0, 2, 1, 2, 1, 1)"
