game_n,winner,turn_outcome
23,2,"(0, 1, 0, 1, 1, 2, 2, 1, 2, 2, 2, 1, 2, 2, 0, 0, 0, 1, 0, 0, 2, 1, 2, 1, 2, 2, 0, 0, 0, 2, 2, 0, 1, 1, 0, 2, 1, 2, 0, 0, 1, 1, 2, 2, 0, 0, 0, 1, 1, 2, 2, 2, 2, 1)"
24,1,"(1, 2, 0, 1, 2, 2, 1, 0, 1, 0, 0, 1, 1, 1, 2, 2, 1, 1, 2, 1, 0, 2, 1, 0, 2, 0, 1, 2, 2, 0, 2, 1, 1, 0, 0, 0, 1, 1)"
25,2,"(1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 2, 2, 0, 0, 2, 2, 2, 2, 1, 1, 1, 0, 2, 2, 0, 2, 1, 1)"
26,0,"(0, 1, 0, 2, 1, 2, 0, 1, 0, 2, 1, 1, 1, 2, 2, 2, 2, 0, 0, 1, 2, 1, 0, 1, 0, 1, 0, 0, 2, 0, 2, 1, 2, 2, 2, 1, 0, 1, 2, 1, 1, 2, 0, 2, 1)"
27,4,"(1, 1, 2, 2, 0, 0, 0, 2, 0, 1, 1, 0, 0, 2, 2, 0, 1, 2, 0, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 1, 1, 2, 0, 2, 1, 2, 0, 2, 2, 2, 0, 1, 0, 2, 2, 0, 2, 0, 2, 1, 2, 1, 2, 2, 0, 1, 0, 0, 0, 1)"
28,3,"(1, 1, 0, 0, 2, 1, 1, 2, 1, 2, 1, 2, 2, 2, 1, 0, 2, 2, 2, 0, 0, 0, 0, 1, 0, 1, 2, 1, 1, 2, 2, 0, 0, 2, 1, 1, 0, 0, 0, 1, 0, 2, 2, 1, 1)"
29,,"(0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 2, 1, 1, 0, 1, 1, 0, 2, 0, 0, 2, 0, 0, 2, 2, 1, 2, 1, 0, 2, 1, 0, 2, 2, 1, 2, 0, 0, 1, 2, 0, 0, 1, 0, 0, 1)"
30,3,"(1, 0, 0, 1, 1, 1, 1, 2, 1, 0, 2, 0, 2, 1, 0, 0, 1, 0, 2, 2, 1, 0, 0, 1, 1, 0, 2, 0, 0, 1, 1, 0, 1, 1, 0, 2, 2, 0, 2, 1)"
31,3,"(0, 1, 1, 1, 0, 2, 1, 0, 0, 2, 0, 0, 0, 1, 1, 2, 0, 1, 0, 1, 2, 0, 0, 0, 2, 0, 0, 2, 1, 0, 1, 2, 1, 1, 2, 2, 2, 2, 1, 2, 1, 0, 1, 0, 2, 2, 1)"
32,,"(1, 0, 0, 2, 1, 1, 0, 0, 1, 1, 0, 1, 2, 2, 1, 2, 0, 0, 2, 2, 2, 0, 2, 2, 2, 0, 0, 1, 1, 2, 2, 1, 1, 2, 1, 0, 1, 1, 0, 2, 2, 2, 0, 2, 0, 1, 1)"
