game_n,winner,turn_outcome
0,2,"(1, 0, 1, 2, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1)"
1,1,"(0, 1, 0, 2, 0, 1, 0, 2, 1, 2, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 0, 0, 0, 1, 0, 2, 0, 0, 2, 0, 1, 1, 2, 1, 1, 1, 0, 0, 1)"
2,1,"(1, 0, 1, 1, 1, 1, 1, 1, 1, 2, 0, 1, 0, 1, 0, 0, 1, 0, 0, 2, 2, 0, 0, 0, 1, 1, 1, 2, 2, 1, 1)"
3,1,"(0, 1, 1, 1, 1, 2, 2, 1, 0, 0, 1, 1, 1, 1, 0, 1, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 2, 1, 1)"
4,2,"(0, 1, 1, 2, 0, 1, 1, 0, 1, 1, 1, 1, 0, 2, 0, 0, 0, 1, 1, 1, 2, 2, 1, 1, 0, 1, 2, 2, 2, 1, 0, 1)"
5,0,"(1, 1, 1, 1, 0, 1, 1, 1, 1, 2, 1, 1, 0, 2, 1, 2, 2, 0, 2, 0, 0, 1, 1, 2, 1, 0, 0, 2, 2, 0, 0, 1, 0, 1)"
6,0,"(1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 2, 1, 1, 2, 1, 1, 0, 0, 0, 1, 1, 1, 2, 1, 1, 0, 2, 2, 1, 0, 1)"
7,1,"(0, 1, 2, 1, 1, 1, 2, 2, 2, 0, 1, 0, 0, 1, 1, 1, 2, 2, 2, 1, 0, 0, 1, 1, 2, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1)"
8,0,"(1, 0, 2, 2, 1, 0, 0, 1, 1, 2, 0, 2, 2, 0, 1, 1, 0, 1, 1, 2, 0, 2, 2, 1, 0, 2, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1)"
9,0,"(1, 2, 1, 0, 1, 1, 2, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 2, 0, 0, 0, 1, 1, 1, 0, 2, 1, 2, 2, 1, 0, 1)"
10,2,"(0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 2, 1, 0, 2, 1, 1, 1, 0, 0, 1)"
11,1,"(0, 0, 1, 0, 2, 0, 2, 1, 1, 1, 1, 0, 0, 1, 1, 2, 1, 0, 0, 2, 1, 0, 1, 2, 2, 1, 0, 2, 0, 0, 0, 1, 0, 0, 1, 1, 0, 2, 1, 2, 1)"
12,2,"(0, 1, 1, 1, 2, 1, 0, 2, 1, 0, 1, 1, 2, 1, 1, 2, 1, 1, 0, 2, 1, 1, 0, 1, 0, 1, 0, 1)"
13,1,"(0, 1, 1, 1, 1, 0, 1, 2, 2, 1, 2, 1, 0, 1, 1, 1, 0, 2, 0, 1, 0, 2, 0, 1, 1, 1, 0, 0, 2, 0, 1, 0, 2, 1)"
14,0,"(1, 1, 0, 1, 1, 1, 2, 2, 0, 1, 1, 1, 0, 1, 2, 1, 0, 1, 0, 2, 1, 0, 0, 1, 1, 2, 2, 1, 0, 2, 2, 0, 0, 1)"
15,1,"(1, 0, 2, 0, 1, 1, 1, 1, 0, 2, 1, 1, 1, 0, 2, 0, 0, 1, 1, 1, 0, 2, 1, 1, 0, 0, 1, 2, 0, 0, 0, 2, 1, 2, 2, 0, 2, 1)"
16,1,"(1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 2, 1, 1, 0, 1, 2, 2, 0, 1, 2, 0, 1)"
17,0,"(1, 1, 1, 1, 1, 0, 1, 1, 2, 0, 1, 0, 1, 1, 1, 1, 0, 2, 1, 0, 1, 2, 0, 0, 1, 1)"
18,2,"(1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 2, 1, 2, 1, 2, 2, 2, 0, 1, 2, 1, 1, 0, 0, 1, 1)"
