game_n,winner,turn_outcome
0,1,"(0, 1, 1, 1, 2, 2, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 2, 2, 1, 2, 0, 1, 0, 0, 0, 0, 1, 1, 1, 2, 1, 1)"
1,1,"(1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 2, 0, 1, 2, 0, 1, 1, 1, 0, 1, 0, 2, 1, 2, 1)"
2,1,"(1, 1, 0, 1, 1, 2, 1, 1, 1, 1, 2, 2, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1)"
3,1,"(1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 0, 0, 2, 0, 1, 0, 0, 1, 2, 2, 1, 0, 1, 1, 2, 1, 0, 0, 1)"
4,1,"(1, 0, 0, 1, 0, 1, 1, 2, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 2, 0, 2, 2, 2, 0, 0, 2, 2, 1, 2, 1, 1)"
5,0,"(1, 0, 1, 0, 1, 1, 2, 0, 1, 1, 2, 0, 1, 1, 2, 0, 0, 1, 1, 2, 1, 0, 1, 1, 2, 2, 2, 0, 1, 2, 0, 1, 0, 0, 0, 0, 1)"
6,0,"(1, 1, 0, 1, 0, 0, 2, 0, 0, 1, 1, 1, 2, 0, 1, 0, 1, 1, 1, 2, 0, 1, 1, 1, 2, 1, 1, 0, 2, 0, 0, 0, 0, 1)"
7,1,"(1, 0, 1, 1, 0, 0, 1, 2, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 2, 0, 1, 1, 1, 1, 1)"
8,1,"(1, 2, 1, 0, 1, 2, 1, 1, 1, 1, 1, 0, 2, 1, 0, 1, 2, 1, 0, 2, 2, 2, 0, 1, 1, 1, 0, 0, 2, 2, 1, 1)"
9,,"(1, 1, 2, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 2, 1, 0, 1, 0, 1, 1, 1, 0, 0, 2, 1, 2, 0, 1, 0, 0, 2, 1, 1)"
10,0,"(1, 1, 0, 1, 1, 1, 2, 1, 1, 2, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 2, 1, 0, 1, 2, 1)"
11,1,"(0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 2, 1, 1)"
12,0,"(1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 2, 1, 1, 0, 2, 2, 2, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1)"
13,0,"(1, 0, 1, 1, 1, 2, 1, 1, 2, 0, 1, 0, 1, 2, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1)"
14,1,"(0, 0, 0, 1, 0, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 0, 0, 1, 1, 0, 1, 2, 1, 0, 0, 1, 0, 2, 0, 1, 0, 1)"
15,1,"(1, 1, 0, 1, 2, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 2, 1, 0, 1, 0, 2, 2, 2, 2, 1, 1, 1)"
16,1,"(1, 1, 0, 1, 1, 2, 1, 0, 1, 2, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 2, 1, 2, 2, 1, 1)"
17,1,"(1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 2, 1, 0, 2, 1, 0, 1, 0, 1, 2, 1, 1, 1)"
18,0,"(1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 2, 0, 0, 2, 2, 1, 1, 1, 0, 2, 2, 1, 1, 0, 1, 1, 1)"
19,0,"(1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 2, 1, 1, 1, 1, 0, 1, 1)"
20,1,"(1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 2, 1, 1, 0, 0, 1, 0, 1, 2, 1, 2, 0, 1, 1, 2, 2, 2, 0, 1, 0, 1)"
21,1,"(1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 2, 1, 1, 1, 1, 0, 0, 2, 0, 2, 1, 1)"
22,0,"(1, 1, 0, 0, 1, 2, 0, 1, 1, 1, 0, 0, 2, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 2, 0, 0, 0, 1)"
23,0,"(0, 0, 1, 1, 1, 2, 2, 0, 1, 1, 0, 2, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1)"
24,1,"(1, 1, 0, 1, 1, 1, 1, 2, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 1, 0, 1, 0, 1, 0, 1)"
25,1,"(1, 0, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 2, 0, 0, 0, 2, 0, 1)"
26,0,"(1, 2, 1, 1, 0, 1, 2, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 2, 2, 0, 1, 2, 0, 1, 0, 1, 2, 0, 1)"
27,1,"(1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 2, 1, 2, 0, 1, 1, 1, 1, 1, 1, 1)"
28,1,"(0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 2, 0, 1, 1, 1, 2, 2, 2, 2, 0, 1)"
29,0,"(1, 1, 0, 1, 0, 1, 2, 0, 0, 1, 0, 1, 1, 1, 0, 0, 2, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 2, 1, 2, 1)"
30,1,"(0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 2, 2, 0, 0, 1, 2, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1)"
31,0,"(1, 0, 1, 0, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 1, 0, 1, 0, 1, 0, 1)"
32,0,"(1, 1, 0, 0, 1, 1, 2, 2, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 2, 0, 1, 1, 1, 2, 2, 0, 0, 0, 1, 2, 1, 2, 1, 1)"
33,0,"(0, 1, 2, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 2, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 2, 2, 0, 1, 1)"
34,1,"(1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 2, 1, 1, 1, 2, 2, 1, 0, 0, 1, 1, 0, 2, 1)"
35,1,"(1, 2, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 2, 1, 1, 1, 1, 1, 1, 1)"
36,1,"(0, 0, 1, 1, 2, 1, 1, 1, 1, 1, 0, 1, 2, 2, 0, 2, 1, 1, 2, 2, 0, 1, 1, 1, 1, 0, 1, 0, 1)"
37,0,"(1, 2, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1)"
38,1,"(1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 2, 1, 0, 0, 1, 1, 1, 1)"
39,0,"(0, 0, 1, 0, 1, 0, 1, 2, 1, 1, 1, 2, 1, 0, 2, 1, 1, 1, 2, 0, 0, 1, 0, 1, 1, 0, 1, 0, 2, 1, 0, 0, 0, 1)"
40,1,"(1, 1, 0, 1, 2, 1, 1, 0, 1, 1, 1, 1, 1, 2, 0, 0, 1, 0, 0, 1, 1, 1, 1, 2, 1)"
41,0,"(1, 0, 1, 0, 1, 1, 2, 0, 1, 1, 2, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1)"
42,0,"(0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 2, 1, 2, 2, 1, 0, 2, 1)"
