game_n,winner,turn_outcome
0,3,"(1, 1, 1, 1, 0, 0, 2, 0, 2, 1, 2, 2, 2, 2, 2, 0, 1, 2, 0, 2, 0, 2, 1, 0, 1, 0, 0, 0, 1, 1, 2, 2, 2, 1, 2, 0, 2, 0, 2, 2, 2, 0, 2, 0, 1, 2, 0, 2, 2, 1, 2, 1, 1, 1)"
1,1,"(1, 2, 2, 1, 1, 2, 1, 1, 0, 2, 2, 2, 0, 0, 1, 2, 2, 2, 1, 0, 1, 1, 0, 2, 0, 2, 2, 2, 2, 1, 0, 2, 1, 2, 2, 1, 2, 0, 0, 2, 0, 2, 0, 2, 1, 0, 1, 0, 0, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1)"
2,4,"(1, 1, 2, 1, 2, 2, 1, 1, 2, 2, 2, 1, 0, 2, 1, 0, 2, 0, 2, 1, 2, 1, 1, 2, 1, 1, 0, 2, 1, 0, 1, 0, 2, 2, 2, 2, 1, 2, 0, 1)"
3,5,"(1, 1, 2, 2, 1, 1, 1, 0, 0, 2, 1, 0, 1, 0, 0, 1, 1, 2, 0, 2, 1, 1, 2, 0, 1, 2, 2, 0, 1, 2, 2, 2, 0, 2, 2, 2, 1, 0, 2, 1, 2, 0, 1)"
4,0,"(1, 0, 1, 0, 1, 1, 0, 2, 0, 0, 1, 0, 2, 1, 2, 2, 2, 2, 2, 0, 1, 1, 2, 1, 2, 0, 2, 2, 1, 0, 0, 0, 2, 1, 1, 2, 1, 2, 2, 1, 0, 0, 2, 2, 0, 2, 0, 0, 2, 0, 1, 2, 1)"
5,,"(0, 1, 1, 2, 0, 2, 0, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 1, 0, 1, 2, 2, 2, 2, 2, 0, 1, 0, 2, 2, 1, 1, 2, 2, 2, 0, 1, 0, 1, 0, 2, 1, 2, 1, 1, 2, 1, 2, 2, 2, 0, 2, 2, 1)"
6,4,"(1, 0, 1, 1, 2, 1, 2, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 2, 0, 2, 2, 2, 2, 1, 2, 0, 0, 2, 2, 1, 2, 1, 2, 0, 0, 2, 0, 2, 1, 0, 2, 2, 0, 2, 0, 2, 0, 0, 2, 1, 1, 2, 2, 2, 2, 1)"
7,6,"(1, 1, 1, 1, 2, 0, 2, 1, 2, 1, 2, 2, 0, 2, 1, 0, 2, 1, 2, 0, 1, 0, 2, 0, 2, 1, 1, 2, 2, 0, 0, 2, 0, 0, 2, 1, 2, 0, 0, 0, 2, 1, 1, 0, 2, 2, 0, 0, 2, 0, 2, 2, 0, 2, 1, 2, 0, 2, 1)"
8,2,"(1, 0, 1, 1, 1, 1, 1, 1, 2, 2, 0, 1, 2, 0, 0, 0, 2, 0, 2, 1, 2, 2, 0, 2, 0, 2, 2, 1, 2, 0, 2, 0, 0, 2, 2, 2, 1, 2, 2, 2, 2, 1, 2, 1, 0, 2, 2, 0, 1, 1, 0, 2, 1)"
9,4,"(1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 2, 2, 2, 1, 1, 2, 2, 2, 2, 1, 2, 2, 0, 2, 1, 0, 0, 0, 0, 1, 1, 2, 2, 0, 2, 1)"
10,1,"(1, 1, 2, 0, 1, 1, 2, 2, 2, 1, 2, 0, 1, 0, 2, 0, 1, 2, 2, 1, 0, 2, 0, 0, 0, 2, 1, 2, 1, 1, 0, 0, 0, 2, 0, 0, 1, 2, 1, 2, 0, 2, 1, 2, 1, 0, 0, 0, 2, 0, 2, 1)"
11,5,"(1, 1, 1, 2, 2, 2, 0, 1, 1, 2, 1, 0, 2, 0, 2, 0, 1, 2, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 0, 2, 0, 2, 2, 0, 0, 0, 1, 0, 0, 1, 2, 1, 0, 1, 0, 1, 2, 1)"
12,5,"(0, 0, 1, 0, 1, 1, 2, 2, 0, 1, 1, 1, 2, 2, 1, 1, 0, 0, 2, 1, 0, 1, 2, 1, 1, 0, 1, 2, 0, 1, 0, 2, 1, 1)"
13,0,"(0, 1, 1, 2, 1, 0, 0, 1, 1, 1, 0, 1, 2, 1, 1, 1, 0, 2, 2, 1, 2, 2, 0, 1, 0, 2, 1, 1, 1, 1)"
14,,"(1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 2, 0, 2, 0, 2, 2, 1, 2, 2, 2, 2, 1, 2, 0, 2, 2, 2, 2, 1, 0, 2, 2, 1, 2, 2, 2, 1, 0, 1, 0, 1, 0, 0, 2, 0, 1, 2, 2, 0, 0, 1, 2, 0, 0, 2, 2, 0, 2, 2, 1, 0, 2, 2, 2, 2, 1)"
15,5,"(1, 1, 1, 1, 2, 1, 2, 2, 2, 2, 2, 1, 2, 0, 1, 2, 1, 0, 0, 2, 1, 2, 0, 2, 1, 0, 0, 2, 0, 0, 2, 0, 0, 2, 0, 1, 0, 2, 0, 2, 2, 1, 0, 1, 2, 1, 0, 2, 2, 2, 0, 0, 2, 0, 0, 2, 2, 0, 2, 2, 2, 2, 2, 1, 1)"
16,4,"(1, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 0, 2, 2, 0, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 2, 0, 2, 1, 2, 2, 2, 2, 2, 2, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 1)"
