game_n,winner,turn_outcome
0,2,"(0, 1, 2, 1, 1, 2, 1, 0, 2, 1, 1, 1, 0, 0, 1, 2, 0, 0, 1, 1, 2, 2, 2, 0, 1, 0, 2, 1, 0, 0, 2, 1, 1, 1, 2, 2, 0, 1)"
1,1,"(1, 2, 2, 1, 0, 1, 1, 0, 2, 1, 1, 0, 1, 2, 1, 2, 1, 0, 2, 2, 2, 2, 2, 2, 2, 1, 0, 2, 1, 2, 0, 0, 2, 1, 1, 2, 2, 2, 0, 0, 2, 1, 2, 1, 0, 2, 1)"
2,1,"(0, 1, 0, 2, 0, 1, 2, 0, 2, 1, 2, 0, 0, 1, 0, 1, 1, 1, 1, 2, 1, 2, 2, 0, 1, 1, 1, 1, 0, 2, 1, 1, 0, 0, 1)"
3,0,"(1, 0, 0, 2, 1, 2, 2, 1, 0, 0, 0, 1, 1, 0, 1, 0, 2, 2, 1, 0, 1, 0, 1, 2, 1, 2, 1, 1, 1, 0, 1, 2, 2, 2, 0, 1, 0, 1)"
4,1,"(0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 2, 1, 0, 0, 1, 2, 2, 0, 0, 2, 1, 0, 0, 1, 0, 1, 2, 1, 0, 0, 0, 1, 0, 2, 2, 2, 0, 1, 1)"
5,,"(0, 1, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 2, 1, 0, 2, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 0, 0, 2, 0, 2, 2, 0, 2, 2, 2, 2, 2, 1)"
6,1,"(1, 1, 0, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 0, 0, 0, 1, 1, 0, 2, 2, 0, 2, 0, 1, 1, 0, 1, 0, 2, 2, 2, 0, 1, 2, 0, 0, 0, 0, 1, 2, 2, 0, 2, 0, 2, 0, 0, 0, 0, 0, 2, 0, 1)"
7,2,"(0, 0, 1, 2, 1, 0, 1, 1, 1, 2, 2, 0, 1, 0, 2, 1, 2, 0, 0, 2, 2, 0, 1, 1, 1, 0, 2, 0, 1, 2, 2, 2, 1, 0, 2, 0, 2, 1, 1, 0, 2, 2, 2, 0, 0, 0, 1, 0, 0, 0, 2, 2, 1)"
8,1,"(1, 1, 1, 1, 2, 2, 0, 2, 1, 1, 0, 1, 0, 2, 2, 0, 1, 1, 1, 2, 0, 1, 2, 2, 0, 2, 1, 0, 2, 0, 0, 0, 1, 2, 0, 1, 0, 0, 1, 0, 2, 2, 1)"
9,3,"(1, 1, 1, 1, 2, 1, 0, 2, 2, 1, 1, 0, 0, 1, 0, 1, 2, 0, 0, 2, 0, 1, 1, 1, 0, 1, 1, 2, 0, 0, 1, 1)"
10,0,"(1, 0, 1, 1, 1, 2, 2, 1, 2, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 2, 0, 0, 1, 0, 1, 0, 0, 2, 0, 0, 1)"
11,2,"(0, 0, 1, 2, 1, 0, 2, 1, 0, 0, 0, 1, 2, 2, 2, 1, 2, 0, 1, 1, 1, 2, 2, 0, 2, 2, 1, 2, 1, 2, 1, 1, 0, 2, 1, 1, 1, 0, 0, 0, 2, 2, 0, 1)"
12,2,"(1, 1, 1, 1, 2, 0, 1, 1, 0, 1, 0, 2, 1, 1, 1, 2, 0, 0, 1, 1, 0, 1, 2, 1, 0, 2, 2, 0, 0, 2, 2, 0, 2, 2, 0, 2, 2, 1, 2, 0, 1)"
13,2,"(0, 1, 1, 2, 0, 1, 1, 1, 1, 2, 0, 1, 2, 1, 0, 2, 0, 0, 1, 0, 2, 2, 2, 0, 1, 2, 1, 0, 1, 0, 2, 2, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 1, 2, 0, 2, 2, 0, 1)"
14,3,"(0, 0, 1, 1, 2, 1, 2, 1, 2, 1, 1, 2, 2, 2, 2, 2, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 2, 1, 0, 1, 2, 1, 1, 0, 2, 0, 0, 0, 2, 0, 1)"
15,0,"(1, 1, 1, 2, 2, 2, 0, 1, 2, 1, 0, 1, 1, 2, 1, 0, 1, 1, 0, 0, 0, 1, 0, 2, 0, 1, 1, 0, 2, 0, 2, 0, 0, 0, 1, 2, 2, 0, 1, 1)"
16,2,"(1, 2, 1, 2, 1, 1, 0, 1, 1, 0, 0, 2, 2, 0, 2, 1, 2, 2, 2, 1, 2, 1, 2, 1, 2, 2, 2, 0, 2, 1, 0, 0, 2, 0, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 1, 1, 2, 1, 0, 1)"
17,2,"(1, 0, 1, 1, 1, 1, 1, 2, 1, 0, 1, 0, 2, 0, 2, 0, 0, 1, 2, 1, 2, 2, 1, 2, 1, 1, 2, 0, 1, 0, 1, 1)"
18,,"(0, 1, 1, 2, 2, 2, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 2, 0, 0, 2, 2, 1, 1, 1, 2, 1, 2, 2, 1, 2, 1)"
19,3,"(1, 1, 1, 2, 1, 2, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 2, 2, 1, 2, 2, 1, 0, 1, 2, 0, 2, 2, 1, 0, 1)"
