game_n,winner,turn_outcome
0,3,"(1, 1, 0, 1, 2, 1, 1, 2, 2, 2, 2, 1, 2, 2, 1, 2, 1, 0, 0, 1, 1, 2, 2, 1, 1, 0, 1, 2, 1, 2, 2, 1, 1)"
1,0,"(1, 0, 2, 0, 1, 0, 1, 1, 1, 0, 1, 2, 1, 0, 0, 1, 2, 1, 1, 0, 2, 0, 2, 2, 0, 2, 1, 1, 1, 1, 1, 2, 0, 2, 2, 0, 1)"
2,0,"(1, 2, 1, 2, 1, 0, 1, 1, 1, 1, 0, 2, 1, 1, 0, 0, 2, 2, 2, 2, 1, 0, 1, 2, 2, 1, 1, 1, 2, 0, 0, 1, 0, 2, 1)"
3,2,"(1, 2, 2, 1, 0, 2, 2, 1, 1, 1, 1, 1, 0, 2, 0, 1, 0, 2, 1, 0, 1, 0, 2, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1)"
4,3,"(1, 1, 1, 0, 0, 2, 1, 1, 1, 0, 1, 1, 2, 1, 0, 1, 0, 2, 2, 1, 0, 1, 1, 2, 0, 2, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1)"
5,0,"(1, 0, 1, 2, 2, 2, 1, 2, 1, 1, 1, 1, 0, 2, 2, 2, 2, 2, 2, 1, 2, 0, 0, 1, 2, 2, 0, 1, 2, 0, 0, 0, 2, 1, 1, 0, 1, 1, 2, 0, 2, 2, 0, 0, 1, 0, 1)"
6,3,"(0, 1, 1, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 0, 1, 0, 2, 1, 0, 2, 0, 1, 0, 1, 1, 0, 1, 1)"
7,2,"(1, 1, 2, 1, 1, 0, 1, 1, 2, 2, 1, 2, 2, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 2, 2, 2, 0, 1)"
8,1,"(1, 1, 1, 1, 1, 0, 2, 0, 1, 2, 1, 1, 1, 2, 0, 1, 1, 2, 2, 2, 0, 2, 2, 0, 2, 1, 0, 2, 1, 1, 2, 2, 0, 2, 0, 0, 0, 2, 0, 1, 2, 1)"
9,0,"(1, 1, 1, 2, 1, 0, 1, 2, 2, 0, 0, 1, 1, 2, 1, 1, 1, 1, 0, 0, 1, 2, 2, 2, 2, 1, 0, 0, 2, 1, 2, 0, 2, 0, 2, 1, 2, 0, 0, 2, 1)"
10,2,"(0, 0, 1, 2, 1, 2, 1, 0, 2, 0, 1, 2, 1, 2, 1, 0, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0, 1, 1, 1, 1, 2, 1)"
11,2,"(1, 1, 2, 1, 0, 2, 1, 2, 1, 0, 1, 2, 0, 1, 1, 2, 2, 0, 2, 1, 1, 0, 1, 2, 1, 0, 2, 1, 0, 2, 2, 0, 1, 2, 0, 0, 1, 1)"
12,3,"(1, 2, 1, 1, 1, 1, 2, 1, 0, 2, 0, 1, 1, 1, 0, 2, 1, 2, 0, 2, 0, 1, 2, 1, 2, 0, 2, 2, 2, 0, 1, 2, 2, 0, 2, 2, 1, 2, 1, 2, 2, 2, 0, 2, 0, 2, 1)"
13,1,"(1, 1, 1, 2, 1, 2, 0, 0, 2, 0, 1, 1, 2, 2, 0, 1, 2, 1, 0, 0, 0, 1, 2, 2, 1, 2, 2, 1, 2, 1, 1, 1, 0, 2, 0, 1, 0, 1)"
