game_n,winner,turn_outcome
0,4,"(1, 1, 0, 0, 0, 1, 1, 2, 0, 1, 0, 2, 1, 2, 1, 0, 2, 0, 0, 0, 1, 1, 1, 2, 1, 2, 0, 0, 1, 2, 1, 1, 0, 0, 1, 2, 0, 0, 1)"
1,2,"(1, 0, 1, 1, 2, 1, 2, 0, 2, 0, 0, 1, 1, 1, 1, 0, 1, 1, 2, 0, 1, 0, 1, 0, 0, 1, 2, 2, 0, 1, 2, 0, 1, 2, 1)"
2,2,"(1, 1, 0, 2, 1, 1, 1, 1, 2, 1, 0, 2, 0, 2, 0, 0, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 2, 1, 1, 0, 2, 0, 2, 2, 2, 2, 2, 1, 1, 0, 2, 0, 0, 0, 0, 1, 0, 1)"
3,1,"(1, 1, 1, 0, 0, 2, 2, 1, 2, 2, 0, 0, 1, 0, 2, 1, 1, 2, 0, 1, 1, 2, 0, 1, 1, 2, 1, 2, 1, 0, 1, 2, 2, 2, 2, 0, 2, 2, 2, 1, 1)"
4,4,"(1, 1, 0, 1, 0, 2, 0, 2, 2, 1, 2, 1, 1, 1, 2, 0, 2, 1, 1, 2, 2, 0, 2, 1, 0, 0, 1, 2, 2, 2, 0, 0, 1, 1, 1, 1, 2, 2, 0, 2, 0, 2, 0, 0, 2, 0, 0, 0, 1)"
5,2,"(1, 1, 2, 1, 0, 2, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 0, 1, 2, 2, 0, 1, 2, 2, 2, 0, 1, 1, 0, 2, 2, 0, 2, 0, 2, 0, 0, 2, 2, 0, 0, 2, 2, 2, 0, 0, 1, 2, 2, 0, 2, 2, 1)"
6,2,"(1, 1, 1, 1, 1, 1, 0, 1, 2, 1, 0, 0, 2, 1, 2, 0, 2, 2, 2, 1, 1, 2, 1, 0, 1, 0, 2, 1, 2, 0, 2, 1, 0, 0, 0, 0, 2, 1)"
7,3,"(1, 1, 0, 2, 0, 0, 2, 1, 2, 0, 1, 1, 2, 1, 2, 1, 0, 0, 1, 1, 1, 1, 2, 2, 0, 0, 2, 1, 1, 0, 1, 1, 0, 2, 2, 0, 2, 0, 1)"
8,0,"(1, 1, 1, 1, 0, 2, 2, 1, 1, 2, 0, 1, 1, 2, 2, 2, 0, 0, 0, 2, 0, 0, 1, 1, 0, 1, 0, 2, 0, 2, 1, 2, 0, 2, 0, 2, 2, 1, 2, 1, 1, 0, 2, 0, 2, 1)"
9,0,"(1, 1, 0, 0, 1, 0, 2, 1, 0, 2, 0, 2, 1, 2, 2, 2, 2, 0, 1, 2, 2, 2, 1, 1, 0, 2, 1, 1, 1, 1, 2, 0, 2, 0, 1, 0, 0, 0, 0, 1, 1, 2, 0, 0, 2, 2, 0, 0, 2, 0, 1)"
10,,"(1, 0, 0, 2, 0, 2, 0, 1, 0, 2, 1, 0, 1, 0, 1, 2, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 2, 1, 1, 2, 0, 0, 0, 0, 2, 1, 0, 1, 2, 0, 2, 2, 2, 1)"
11,2,"(1, 1, 1, 1, 1, 1, 1, 2, 0, 2, 0, 0, 1, 0, 1, 1, 1, 0, 2, 1, 1, 0, 0, 2, 0, 1, 0, 0, 0, 2, 2, 1, 2, 2, 0, 0, 2, 2, 1)"
12,3,"(1, 1, 1, 1, 0, 0, 0, 1, 2, 1, 2, 2, 0, 0, 0, 1, 2, 2, 1, 2, 0, 0, 2, 0, 0, 0, 1, 0, 2, 0, 1, 1, 0, 1, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 1, 0, 1)"
13,4,"(0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 2, 0, 1, 2, 2, 0, 1, 1, 2, 1, 0, 0, 1, 1, 0, 0, 1, 1, 2, 1, 2, 0, 0, 1, 0, 1)"
14,1,"(1, 0, 1, 1, 0, 1, 2, 1, 0, 0, 0, 2, 0, 2, 2, 1, 2, 0, 1, 2, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 2, 0, 0, 1)"
15,4,"(1, 0, 0, 2, 0, 2, 1, 2, 0, 1, 2, 0, 0, 1, 1, 1, 1, 1, 1, 2, 1, 0, 0, 2, 1, 0, 0, 2, 1, 2, 1, 1, 0, 2, 1, 1)"
16,4,"(1, 0, 1, 0, 1, 0, 2, 0, 1, 2, 2, 0, 1, 2, 1, 2, 0, 0, 2, 2, 0, 2, 1, 0, 2, 1, 2, 2, 2, 1, 0, 0, 2, 0, 2, 1, 0, 0, 1, 1, 1, 1, 0, 2, 0, 2, 2, 2, 2, 2, 2, 0, 1, 2, 0, 0, 0, 0, 0, 2, 1)"
17,,"(0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 2, 1, 1, 1, 1, 0, 0, 1, 2, 1, 1, 2, 0, 2, 1, 1, 0, 1)"
18,2,"(1, 0, 1, 2, 0, 2, 2, 1, 2, 2, 1, 0, 2, 1, 1, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 2, 0, 1, 2, 1, 2, 1, 0, 1)"
19,2,"(1, 2, 1, 1, 2, 2, 0, 2, 1, 0, 2, 0, 2, 0, 1, 1, 1, 1, 2, 2, 1, 2, 2, 0, 2, 1, 2, 2, 1, 0, 0, 2, 0, 1, 1, 2, 0, 2, 1, 0, 2, 0, 2, 0, 0, 1, 2, 0, 0, 2, 1)"
20,1,"(1, 1, 1, 2, 1, 0, 0, 2, 0, 0, 1, 2, 1, 1, 0, 2, 0, 2, 1, 1, 2, 2, 1, 1, 1, 1, 2, 0, 2, 0, 2, 1, 2, 2, 1, 0, 1)"
21,4,"(1, 1, 0, 0, 1, 0, 1, 0, 2, 2, 0, 0, 0, 1, 1, 1, 1, 2, 0, 2, 1, 2, 0, 0, 0, 0, 1, 1, 1, 2, 1, 0, 0, 1, 1, 1)"
