game_n,winner,turn_outcome
19,3,"(0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 2, 2, 0, 0, 0, 0, 2, 1, 0, 2, 0, 0, 0, 1, 1, 1, 1, 1, 0, 2, 2, 2, 2, 2, 0, 2, 2, 0, 0, 2, 0, 1, 1, 2, 2, 0, 0, 0, 0, 2, 2, 0, 2, 2, 1)"
20,0,"(1, 1, 1, 0, 1, 2, 0, 1, 1, 1, 0, 0, 2, 2, 1, 1, 0, 2, 2, 2, 1, 2, 0, 2, 2, 0, 2, 0, 2, 1, 2, 2, 0, 2, 2, 1, 2, 2, 1, 0, 0, 1, 2, 0, 2, 0, 0, 0, 1, 2, 2, 1)"
21,5,"(1, 2, 1, 0, 2, 1, 2, 2, 1, 1, 2, 0, 1, 0, 0, 2, 0, 0, 2, 2, 1, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 2, 0, 1, 0, 1, 0, 1, 2, 1, 1, 0, 0, 1, 2, 2, 2, 1, 2, 1)"
22,,"(1, 2, 1, 1, 2, 1, 2, 1, 1, 1, 2, 0, 0, 0, 1, 1, 0, 2, 2, 1, 2, 2, 2, 2, 1, 2, 0, 2, 1, 1, 2, 1, 1, 2, 2, 0, 1)"
23,,"(1, 0, 1, 2, 1, 1, 1, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 0, 1, 2, 0, 1, 2, 0, 2, 2, 2, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 1, 1, 0, 2, 2, 0, 0, 0, 2, 1, 0, 0, 2, 2, 0, 1, 1)"
24,2,"(1, 1, 1, 0, 2, 2, 0, 0, 2, 2, 0, 0, 1, 1, 2, 2, 1, 0, 0, 1, 2, 1, 0, 2, 2, 1, 2, 1, 0, 2, 1, 2, 2, 1, 2, 0, 2, 0, 2, 0, 0, 0, 2, 1, 2, 0, 0, 2, 2, 2, 2, 1, 1, 2, 2, 0, 2, 2, 2, 2, 0, 0, 0, 2, 0, 0, 0, 1)"
25,4,"(0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 2, 1, 2, 2, 0, 2, 2, 2, 0, 1, 1, 2, 0, 0, 0, 2, 0, 2, 0, 2, 1, 2, 2, 2, 1, 0, 2, 2, 0, 0, 2, 0, 2, 1, 1, 0, 2, 2, 0, 2, 2, 1, 0, 2, 2, 0, 0, 0, 1, 2, 1, 2, 2, 1)"
26,0,"(1, 1, 1, 0, 0, 0, 1, 1, 2, 0, 0, 1, 1, 1, 0, 0, 1, 0, 2, 0, 2, 2, 1, 0, 2, 2, 0, 2, 1, 2, 2, 1, 2, 0, 2, 2, 0, 1, 1, 2, 2, 0, 2, 2, 2, 0, 1, 0, 0, 2, 2, 0, 2, 2, 2, 2, 0, 2, 2, 2, 2, 0, 0, 2, 1)"
27,2,"(1, 0, 1, 1, 2, 2, 2, 2, 0, 0, 2, 1, 1, 2, 2, 2, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 2, 2, 2, 1, 1, 0, 1, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1)"
28,5,"(1, 1, 0, 2, 2, 0, 1, 2, 1, 0, 1, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 0, 1, 1, 2, 1, 1, 1, 0, 2, 2, 0, 2, 0, 2, 2, 2, 0, 2, 1, 2, 1, 0, 2, 2, 1, 0, 0, 0, 0, 1)"
29,2,"(1, 1, 2, 0, 0, 0, 2, 2, 0, 2, 2, 1, 2, 1, 0, 0, 0, 0, 0, 2, 1, 2, 2, 2, 0, 2, 0, 2, 1, 1, 0, 2, 2, 0, 2, 2, 2, 2, 2, 1, 2, 0, 2, 0, 2, 1, 1, 1, 0, 2, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1)"
30,6,"(1, 0, 1, 2, 1, 1, 0, 2, 1, 2, 0, 2, 2, 2, 1, 1, 2, 1, 2, 0, 2, 0, 1, 1, 2, 0, 2, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 2, 1, 2, 2, 2, 1, 1, 2, 0, 1, 0, 0, 2, 1)"
31,,"(1, 2, 1, 0, 0, 1, 1, 0, 2, 0, 0, 0, 0, 2, 2, 1, 2, 0, 2, 0, 0, 0, 2, 2, 1, 2, 2, 1, 2, 1, 0, 1, 0, 2, 0, 2, 1, 1, 1, 1, 2, 2, 1, 2, 2, 2, 2, 0, 0, 2, 0, 2, 0, 2, 0, 2, 2, 2, 2, 1, 2, 0, 0, 2, 2, 0, 1)"
32,0,"(1, 0, 0, 1, 1, 2, 0, 1, 1, 2, 2, 0, 1, 2, 2, 0, 2, 0, 2, 2, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 0, 1, 1, 0, 0, 1, 2, 2, 1, 0, 2, 2, 2, 1)"
33,3,"(1, 1, 0, 1, 2, 1, 1, 2, 0, 0, 1, 2, 0, 0, 0, 2, 1, 2, 1, 0, 1, 0, 2, 2, 1, 2, 2, 1, 0, 0, 1, 1, 2, 2, 0, 1, 2, 2, 0, 0, 1, 2, 2, 0, 2, 2, 0, 0, 0, 1)"
34,3,"(1, 1, 0, 0, 2, 0, 1, 2, 2, 2, 1, 0, 0, 0, 1, 0, 1, 2, 0, 2, 1, 1, 2, 0, 2, 1, 2, 2, 0, 2, 2, 0, 1, 0, 0, 2, 0, 1, 1, 0, 2, 2, 0, 2, 2, 1, 0, 1, 1, 2, 2, 0, 2, 1)"
35,2,"(1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 0, 0, 1, 0, 1, 1, 2, 0, 1, 0, 2, 0, 2, 1, 1, 2, 0, 1, 2, 2, 1, 1, 1, 2, 2, 0, 0, 2, 0, 0, 2, 0, 2, 2, 2, 2, 1, 2, 2, 2, 2, 0, 1)"
