game_n,winner,turn_outcome
0,2,"(0, 0, 0, 1, 1, 0, 0, 2, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 2, 2, 2, 0, 0, 1, 0, 0, 1, 2, 0, 1, 2, 0, 0, 0, 1, 2, 1, 2, 1, 0, 2, 0, 1, 1)"
1,1,"(1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 2, 0, 2, 1, 2, 2, 2, 0, 2, 2, 1, 1)"
2,3,"(1, 1, 1, 1, 2, 1, 2, 0, 1, 0, 1, 0, 2, 0, 2, 1, 2, 0, 2, 2, 2, 0, 1, 1, 2, 0, 1, 0, 1, 1, 0, 2, 0, 1, 0, 1, 2, 2, 0, 0, 1)"
3,0,"(0, 0, 0, 1, 2, 2, 1, 1, 1, 1, 1, 2, 2, 0, 2, 1, 2, 0, 0, 0, 1, 1, 2, 2, 1, 2, 2, 2, 0, 2, 2, 2, 0, 2, 1, 1, 0, 2, 2, 2, 1, 1, 2, 2, 2, 0, 1, 0, 1)"
4,4,"(1, 0, 1, 0, 1, 2, 0, 1, 1, 0, 1, 1, 2, 1, 1, 0, 2, 2, 0, 0, 2, 1, 2, 0, 0, 2, 1, 0, 0, 2, 1, 0, 0, 1, 1, 0, 1, 0, 2, 1)"
5,3,"(0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 0, 1, 1, 1, 1, 2, 0, 0, 2, 1, 2, 1, 0, 0, 0, 2, 0, 2, 2, 0, 0, 2, 0, 0, 1, 2, 1, 0, 1, 0, 0, 0, 0, 1, 1, 2, 1, 2, 2, 2, 2, 0, 0, 2, 1, 2, 0, 1)"
6,0,"(1, 1, 1, 0, 2, 1, 1, 2, 2, 2, 1, 1, 2, 2, 0, 1, 1, 2, 1, 2, 2, 0, 2, 1, 0, 2, 1, 1, 2, 2, 0, 1, 2, 2, 2, 1, 2, 2, 0, 0, 2, 1)"
7,3,"(1, 0, 0, 1, 1, 2, 0, 1, 1, 0, 0, 2, 2, 1, 2, 0, 0, 1, 1, 1, 1, 2, 1, 2, 1, 0, 1, 0, 2, 1, 2, 0, 1, 0, 0, 2, 2, 1)"
8,3,"(1, 0, 0, 1, 1, 1, 2, 2, 1, 0, 1, 0, 2, 2, 1, 1, 2, 1, 2, 1, 0, 1, 2, 1, 0, 2, 0, 2, 0, 1, 0, 2, 0, 2, 1, 2, 2, 2, 1, 2, 0, 1)"
9,4,"(1, 1, 1, 1, 1, 0, 1, 2, 2, 2, 0, 2, 1, 1, 2, 0, 0, 0, 1, 1, 1, 2, 1, 1, 1, 0, 2, 1, 2, 2, 1)"
10,3,"(1, 2, 1, 2, 2, 1, 1, 2, 1, 1, 2, 0, 0, 2, 2, 0, 2, 0, 0, 2, 0, 1, 0, 1, 1, 0, 1, 2, 1, 2, 0, 1, 0, 2, 2, 1, 0, 0, 1, 0, 0, 1, 1)"
11,1,"(0, 0, 1, 1, 2, 1, 0, 1, 1, 1, 0, 1, 1, 1, 2, 0, 1, 0, 2, 1, 1, 2, 1, 0, 1, 1, 0, 2, 0, 0, 0, 2, 0, 2, 0, 1)"
12,4,"(1, 1, 0, 1, 1, 1, 1, 2, 2, 1, 1, 0, 2, 1, 0, 1, 2, 2, 0, 1, 2, 1, 1, 2, 2, 0, 1, 0, 2, 2, 1, 0, 1)"
13,,"(1, 1, 1, 0, 0, 1, 0, 1, 0, 2, 2, 2, 1, 1, 1, 2, 2, 0, 0, 0, 2, 1, 0, 1, 2, 2, 0, 0, 2, 0, 1, 2, 1, 0, 2, 1, 0, 0, 0, 1, 1, 2, 0, 1)"
14,2,"(1, 2, 1, 1, 2, 0, 2, 0, 1, 2, 1, 0, 1, 0, 1, 1, 2, 1, 0, 0, 2, 0, 1, 1, 2, 0, 0, 2, 1, 1, 0, 0, 0, 1, 1, 0, 2, 0, 0, 1)"
15,2,"(0, 1, 0, 1, 1, 1, 0, 2, 2, 1, 1, 0, 2, 0, 1, 1, 0, 1, 2, 0, 2, 2, 2, 2, 0, 2, 0, 1, 0, 2, 0, 0, 2, 0, 1, 2, 2, 0, 2, 0, 1, 1, 1, 2, 0, 0, 0, 1, 2, 2, 2, 1)"
16,0,"(1, 1, 1, 0, 2, 2, 0, 2, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 2, 1, 1, 0, 2, 1, 1, 1, 2, 2, 1, 0, 1, 1, 0, 1)"
17,0,"(1, 1, 1, 0, 2, 2, 0, 0, 1, 2, 1, 2, 0, 0, 2, 1, 0, 2, 0, 1, 1, 1, 2, 2, 0, 2, 1, 2, 2, 2, 2, 1, 1, 2, 0, 1, 1, 0, 1, 2, 0, 0, 2, 1)"
